rank	username	minecraft:dropped/minecraft:red_mushroom_block
1	Blaiku	4056
2	thewindmillman	2442
3	luseis	320
4	Crowman1	270
5	Di_infiri	263
6	lillips	248
7	Kowcio_	240
8	Werbe	204
9	PigDab	190
10	YungMaki	169
11	AuroraValkyrie	127
12	burbankbuilder28	123
12	Spacewardharpy7	123
14	MovingFish7	112
15	EcksD	108
16	eitanzaki	97
17	MightyWertu	95
18	Frozil20	86
18	seramalen	86
20	kekhon	78
21	Blackberry1310	76
22	SpacesickPrism	74
23	Manaateee	70
24	PortlyPete69	61
25	groofles	55
26	k_ce	50
27	Xclax101	47
28	_Nuf	45
28	Nicserso	45
28	quavers_q	45
31	gcaisawesome	44
31	SaintJosie	44
31	MakeHistory157	44
34	LeEricc	41
34	skrongus	41
36	Maenara	36
37	Killercatty78	27
38	SteveCraftBlocks	26
39	Rebytre	22
40	Jindong	21
41	Hermanni__	20
42	LeGold	19
43	yheece	17
44	pintsizedrogue	15
44	Hpdinosaur	15
46	beeperbeeper5	14
46	WyngGoy	14
48	Hyp3rion_	12
49	nattybears	8
49	SyntheticSurgeon	8
51	NameGenerat0r	7
52	joethahobo	6
52	12Magner05	6
52	thescout7	6
52	AlexxO_o	6
52	masskedman	6
57	SoosAmongus	5
57	Alteriity	5
57	lordpipe	5
60	Lekol	4
60	FreakGenius	4
60	Soplight	4
63	ApophisNova	3
63	MyNamaSheff	3
65	EMC_	2
66	KingFaenor	1
66	Zippyzam	1
66	Mahoose	1
66	_Dean_123	1
66	jcool7	1
