rank	username	minecraft:dropped/minecraft:raw_copper_block
1	thewindmillman	2137
2	Smoke____	341
3	500am	129
4	pintsizedrogue	78
5	dartwaffle	62
6	Mahoose	11
7	Jiminie	1
7	pixelviolin	1
