rank	username	minecraft:dropped/minecraft:honeycomb_block
1	PlasticOtari	452
2	eitanzaki	328
3	joethahobo	256
4	EMC_	192
5	Blaiku	136
6	oxfordschool	128
7	KingMatthew506	126
8	Steelynan	75
9	Nesquiczek	64
9	Fullut	64
9	GlitchyPlate810	64
9	Zoeyfortnite	64
13	ImpavidArcher	17
14	pintsizedrogue	13
15	Soplight	11
16	SteveCraftBlocks	9
17	monky_irl	7
17	djancak	7
19	Incinere	5
20	500am	4
21	TheSecondLord	3
21	lordpipe	3
23	emrekn	2
23	NameGenerat0r	2
25	Hpdinosaur	1
25	thewindmillman	1
25	Kynigito	1
25	ToastedGamingYT	1
25	TheFireTurtle	1
25	lillips	1
25	Freak_Genius	1
25	Spacewardharpy7	1
25	IAmTheWalrus910	1
