rank	username	minecraft:dropped/minecraft:shroomlight
1	thewindmillman	668
2	noam464	513
3	Hyp3rion_	384
4	Blaiku	238
5	YungMaki	223
6	eitanzaki	180
7	Mahoose	132
7	HolyVenom	132
9	lillips	99
10	Freak_Genius	67
11	Ezekson	65
12	fred870d	64
13	Steelynan	63
14	Blackberry1310	62
15	Lord_Jord	54
16	Smoke____	51
17	Jackattack53	32
18	kekhon	22
19	Smashic	20
19	Winklepicker279	20
19	PigDab	20
22	GlitchyPlate810	19
23	TheSecondLord	18
23	Spacewardharpy7	18
25	12Magner05	16
26	hm947	14
26	MSK__	14
26	TheALV	14
29	trexgb	13
30	r123moore	12
30	Eraxa	12
32	lordpipe	11
33	Akoot_	9
34	gcaisawesome	8
34	Kowcio_	8
36	Hpdinosaur	7
36	Snowflowe	7
38	RebelAndroid	4
38	joethahobo	4
38	beeperbeeper5	4
38	FishyBoy3811	4
38	MAns_44	4
38	Nycteus_	4
38	SvenskaHugo	4
45	YahooScreen9000	3
45	jnp_gaming	3
47	pintsizedrogue	2
47	cwartzo	2
47	lizardfightclub	2
47	NomadicRobin_	2
47	oxfordschool	2
52	I_Am_Mushkin	1
52	ImpavidArcher	1
52	whoaluv	1
52	Zythose	1
52	Werbe	1
52	SkateboardR6	1
52	Hisiste	1
52	_Ruzeeq_	1
52	Hermanni__	1
52	Kubeusz2010	1
52	RadarHz	1
52	Legendosh	1
52	diggydog67	1
