rank	username	minecraft:dropped/minecraft:dead_fire_coral_fan
1	noam464	24
2	Di_infiri	21
3	PigDab	10
4	Blaiku	6
5	fkGrim	2
6	Shogunite	1
6	cutelilreno	1
