rank	username	minecraft:dropped/minecraft:white_concrete
1	noam464	88058
2	Hyp3rion_	15069
3	EcksD	11652
4	Blaiku	6715
5	eitanzaki	6689
6	Jackattack53	4505
7	beeperbeeper5	2170
8	Di_infiri	1393
9	lordpipe	1154
10	YungMaki	1152
11	mihimihimihi	959
12	PigDab	826
13	Mythic1130	816
14	_Karmaa	773
15	thewindmillman	572
16	thescout7	570
17	MattieHD	427
18	ApophisNova	370
18	MyNamaSheff	370
20	Inchef	366
21	lillips	358
22	Ezekson	349
23	Groundler	343
24	Inbefour	325
25	IamCL4SSY	307
26	RobotMinion101	301
27	Blackberry1310	272
28	WyngGoy	257
29	set67	256
30	xzvu	248
31	Smoke____	243
32	kekhon	208
33	Kowcio_	188
34	Lez_	185
35	jnp_gaming	179
36	Alteriity	140
37	stellarjay	136
38	Kyrum2169	133
39	The11thDoctor	131
40	seanitoo	128
41	Katthaj	127
41	RealGroot	127
43	lorpus	120
44	NameGenerat0r	114
45	Werbe	113
46	Blu3beast	109
47	ImpavidArcher	107
48	Zythose	102
49	bladeefan2009	101
50	__tomato	98
51	Sheldor097	96
52	Akoot_	88
53	Smashic	83
54	Frozil20	78
55	Spacewardharpy7	76
56	Ssor69	74
57	Uzbeki_John	73
58	Onennon	67
59	Steelynan	66
59	ConnorDanky_	66
59	JayToe	66
62	NieToksikpl	64
62	4774	64
62	Hoid_the_Roamer	64
62	ese_wn_po	64
62	FreakGenius	64
62	Enderxz3	64
62	Wanjibon	64
69	WET_WET_WET	63
70	erkada	57
71	PlzNoBM	56
72	Eraxa	55
73	Incinere	52
74	Groovy_MoonBird	51
75	T045RTY	49
75	BlueZabu	49
77	diamondgolem35	48
77	Biites	48
77	Zoeyfortnite	48
80	TechnoNinja64	47
81	Fuad_R	45
82	stavgod	42
83	I_Am_Mushkin	41
83	SteveCraftBlocks	41
83	burbankbuilder28	41
86	Leyna3	39
86	Soplight	39
88	NotP0tato	38
88	CalebDHawk	38
90	_Huge_Male_	33
90	_Nuf	33
90	emrekn	33
93	ROY4LE	31
93	Nicserso	31
95	SuperPooch06	30
96	Deu_Stew	29
96	Hiryu27	29
98	Merv__	28
98	sadvavilloso	28
98	AltnumberF4	28
101	Mahoose	25
101	joethahobo	25
103	Mr_Byzantine	24
104	SmashingPump	23
104	Rich_Kat	23
106	El_Jalapeno	21
106	SkateboardR6	21
108	Snowflowe	20
108	AssFullaCum	20
110	The_Thund	18
110	Bad_At_Names_Guy	18
110	adeptius	18
113	domagawha	17
113	Skylord_Luke	17
115	k1ngGilgamesh	15
116	SaintJosie	14
117	Xalithia	13
118	UCP_TheKingK	12
119	Huwulling	11
119	Fullut	11
119	Touched_Bread	11
122	MrKrabOnCoke	10
122	Kakolbus	10
124	500am	9
124	MakeHistory157	9
124	FelixPSY375	9
127	ooga47	8
128	Quaintster	7
129	jushykins	6
129	Kkanot	6
129	Lord_Jord	6
129	HellsSponge	6
129	FishisTTV	6
134	rarrq	5
135	pintsizedrogue	4
135	Swexti	4
135	SquadMonster	4
135	BunkeredTree	4
135	Babushka0430	4
135	layabout100	4
135	carbo_bro	4
142	Da_Boss_Rani	3
142	titanlax	3
142	r123moore	3
142	TheShyPig	3
142	audiocracked	3
142	fkGrim	3
148	ImNotYuqii	2
148	bigstankyy	2
148	Esme_1	2
148	ssleepless	2
148	CoffeeNoir	2
148	StanceTB	2
148	hanaryheatwave	2
148	F_Uhre	2
148	masskedman	2
148	Agent108	2
148	Xclax101	2
148	silverpopcorn	2
148	fffMike	2
148	jcool7	2
148	Quotary	2
148	Jimb0nat0r	2
148	xolstoi	2
165	SyK7	1
165	EMC_	1
165	Franco093	1
165	Cryptacity	1
165	TheSecondLord	1
165	Blazebit	1
165	_Magdo_	1
165	himak1	1
165	Mewar	1
165	Bolete	1
165	legal_tax_evader	1
165	Rumpletaezer	1
165	DAD_1996	1
165	ItsAki_	1
165	NomadicRobin_	1
165	EveryonesUncle	1
165	Tyrannosplart	1
165	RoofTyler	1
165	1442	1
165	RedcatVII	1
165	IAmTheWalrus910	1
165	SexcMf	1
165	ElectricDragon81	1
165	gusstationwerker	1
165	SammiWolfGirl	1
165	EngagedGrub41	1
165	Powowowow	1
165	vandmanden	1
