rank	username	minecraft:dropped/minecraft:quartz_block
1	noam464	3052
2	Sral7	2598
3	thewindmillman	1886
4	EcksD	1813
5	eitanzaki	1418
6	Frozil12	1329
7	Zoeyfortnite	1313
8	oxfordschool	1311
9	SlinkyPinky	1152
10	PhantomsGhost_	960
11	Lord_Jord	769
12	joethahobo	706
13	lillips	686
14	Blaiku	670
15	lordpipe	660
16	Natofthese	659
17	ApophisNova	546
17	MyNamaSheff	546
19	Wooptey	448
20	Smoke____	439
21	Werbe	414
21	AssEatrAndLicker	414
23	Shogunite	410
24	Eraxa	399
25	Tobinator_007	395
26	FishyBoy3811	355
27	Quotary	352
28	Inbefour	334
29	marumochis	333
30	Di_infiri	328
31	stahouo	327
32	MovingFish7	314
33	YungMaki	307
34	kinas45y5	296
35	Merv__	284
36	Hyp3rion_	267
37	AJplaysMC_	250
37	Blu3beast	250
39	Comma__	244
40	Xclax101	237
41	NomadicRobin_	224
42	Wowful	218
43	_Nuf	210
44	_Karmaa	208
45	MakeHistory157	203
46	Mahoose	199
46	The_slideV3	199
48	Groundler	197
49	TooManyDuck	192
49	Snowflowe	192
49	KliBeast21	192
52	SuperPooch06	190
53	_Virify_	180
54	pumpfonzo	155
54	Freak_Genius	155
56	JEWISHBadenBeele	153
56	trexgb	153
58	GravitySaint	142
59	set67	136
60	Hpdinosaur	128
60	jacxhadow	128
62	rarrq	126
63	Nicserso	125
64	RadarHz	124
65	GlitchyPlate810	121
66	TechnoNinja64	117
67	AuroraValkyrie	116
68	Akoot_	113
69	Syropatathe	109
70	Soplight	104
71	beeperbeeper5	97
72	EcksDofficial	95
73	jimintyy	93
74	chipklip	77
75	_naturell	69
76	himak1	68
76	Deguns123	68
78	Skippeh	67
79	Ssor69	65
79	PigDab	65
79	Spacewardharpy7	65
82	Jahara	64
82	H72l9w	64
82	NameGenerat0r	64
82	mawileite	64
86	intropass	56
86	ImDisconnected_	56
88	alderban107	51
89	Whiterooster001	47
90	SammiWolfGirl	42
91	soundad	38
91	Hisiste	38
93	Sheldor097	33
94	Legendosh	32
95	ImpavidArcher	31
96	_czarny	30
97	Batman922	29
97	mwrty	29
99	Decaying_Lotus	25
100	dopplexd	24
101	Optiprimus	22
102	DarlaMeow	21
103	Racengan	20
104	livingdaydreams	18
104	thescout7	18
106	ketaminmann	17
107	q_wq	16
107	roxycherry	16
107	_Bguette_	16
107	cytotoxaint	16
111	bloodbiter	14
111	TheOuterCore	14
113	NotTrixi	13
113	2Stout	13
113	Skylord_Luke	13
116	pintsizedrogue	12
116	__Auspicious	12
116	Spenduh	12
119	ElectricDragon81	11
120	MightyWertu	10
121	Blackberry1310	9
121	kekhon	9
123	Elprone266	8
123	diggydog67	8
125	Truckoss	7
126	fr_ser	6
126	Leyna3	6
126	RodSerlingCringe	6
126	Karbl	6
126	AltnumberF4	6
131	Motsaro	5
131	Blamphe	5
131	EveryonesUncle	5
134	Groovy_MoonBird	4
134	Kyrum2169	4
134	BlankityMcBlank	4
137	Incinere	3
137	Arceus1975	3
137	Kouridragon	3
137	AssFullaCum	3
141	CoffeeNoir	2
141	elmer1234	2
141	Fullut	2
141	xxPipperDipperxx	2
141	gabriels543	2
141	RobotMinion101	2
141	ClemenPine	2
141	HellsSponge	2
141	SSytex_X	2
141	Enderslayerxz3	2
141	PlasticOtari	2
152	SaucyDark	1
152	NinjaKnifeKill	1
152	Swexti	1
152	Ardennes	1
152	500am	1
152	egglapras	1
152	emrekn	1
152	M_Patata	1
152	Kakolbus	1
152	Ecplosive	1
152	Doom_melon	1
152	burbankbuilder28	1
152	_Boipl_	1
152	Donutt	1
152	DebbieBrunswick	1
152	Zielo2017PL	1
152	AlphaWolfPlaysMC	1
152	MustaLoordi	1
152	fluddd	1
152	SkateboardR6	1
152	MasterNueve	1
152	NebulousBadger	1
152	Nagasaki_Riku	1
152	__tomato	1
152	SlimeBOI03	1
152	2blox	1
