rank	username	minecraft:dropped/minecraft:bamboo_stairs
1	Mr_Sun15	17
2	skitzxo	9
3	TheKingK_	5
4	gamerlord1324	4
4	Synthoum	4
6	noam464	3
7	Mr_Byzantine	2
7	Fullbit_	2
9	crashomon	1
9	Jackattack53	1
9	lordpipe	1
