rank	username	minecraft:dropped/minecraft:coal_block
1	Spacewardharpy7	49080
2	thewindmillman	41559
3	jcool7	22821
4	EcksD	10781
5	Blaiku	1558
6	Frozil12	1349
7	Nicserso	1024
8	Werbe	940
9	lordpipe	780
10	Blu3beast	711
11	lillips	698
12	Di_infiri	640
13	mwrty	618
14	CyrusIsTired	383
15	Th6masss	320
16	eitanzaki	308
17	k1ngGilgamesh	277
18	Miko_Fullbuster	258
19	gcaisawesome	257
20	_Virify_	256
21	kekhon	239
22	jnp_gaming	227
23	Akoot_	225
24	pintsizedrogue	211
25	rarrq	203
26	Enderslayerxz3	192
27	Hyp3rion_	164
28	PhantomsGhost_	160
29	DemTechAlpha	150
30	noam464	141
31	Airem_Core	138
32	h2p_emrld	137
33	oxfordschool	134
34	joethahobo	129
34	HellsSponge	129
36	Reamdin	128
36	PigDab	128
38	WET_WET_WET	122
38	Smoke____	122
40	livingdaydreams	104
41	Freak_Genius	102
42	Blackberry1310	100
43	CaptainDeadBread	83
44	Juk3b0x	78
45	yulgur1	72
46	Mahoose	68
47	Menthas	64
47	surfinggiraffejp	64
47	moderncraft	64
47	jewbacaman	64
47	Kowcio_	64
47	SammiWolfGirl	64
53	Fullut	62
54	MilleGrug	56
54	Powowowow	56
56	EMC_	45
57	SingedBread	43
57	SvenskaHugo	43
59	Mewar	40
60	teslawolf38	39
61	YungMaki	38
62	NomadicRobin_	35
63	ExtraDumb	33
64	Ezekson	32
65	SkateboardR6	30
66	o0z	29
67	starbits140	27
68	Patwannabegamer	23
68	fred870d	23
70	Racengan	22
71	MattieHD	20
71	Snowflowe	20
73	__tomato	18
74	byFlixxx	17
75	Jiminie	16
76	kinas45y5	15
77	RefluxRatio	14
77	AlexStrange	14
77	_TCARREIRA_	14
80	PhantomBionic	13
80	NoChumpChange	13
80	Eraxa	13
80	TheOuterCore	13
84	Mpkkiller	12
85	Tolhart	10
86	Nach0Bear	9
87	Xclax101	8
88	thescout7	7
88	Kouridragon	7
88	IvarEXE	7
91	MightyWertu	6
91	Vellu21	6
93	diamondgolem35	5
93	XboxPanda	5
93	EveryonesUncle	5
93	Xovalt_	5
97	Ninzyyy	4
97	BobDeBouwer1337	4
97	NameGenerat0r	4
97	fluddd	4
101	Comma__	3
101	TheSeismicDuck	3
103	dragonsleger	2
103	Wooptey	2
103	Vizzoid	2
103	_Nuf	2
103	Stiar	2
103	mimbo1211	2
103	Aiko_Kawashima	2
103	CarryLine	2
103	Drewen24	2
103	07shiny	2
103	Kyrum2169	2
114	JEWISHBadenBeele	1
114	_Bguette_	1
114	Razzgriz	1
114	Spenduh	1
