rank	username	minecraft:dropped/minecraft:tadpole_bucket
1	thewindmillman	18
2	pintsizedrogue	16
3	Alteriity	14
4	Jimb0nat0r	6
5	T045RTY	4
6	oscminus	3
7	_Huge_Male_	2
7	noam464	2
9	Lez_	1
9	Blackberry1310	1
9	Smashic	1
9	shadowthemonkey	1
9	Jackattack53	1
9	Kowcio_	1
9	CalebDHawk	1
