rank	username	minecraft:dropped/minecraft:bamboo_planks
1	_Duckery	2804
2	lpinfinity	1696
3	Soplight	396
4	milltesco	302
5	k_ce	255
6	_witch_craft_	192
7	robonya_	140
8	TheSecondLord	128
9	craaaash	124
10	Mr_Byzantine	123
11	beeperbeeper5	83
12	Spaghettatron	69
13	Synthoum	66
14	gamerlord1324	45
15	Mattesco	42
16	CacheOut	36
17	Dark_Crusader21	30
17	Fullbit_	30
19	McCakeAh	22
20	thewindmillman	21
21	Buuck_	19
21	Kowcio_	19
23	lordpipe	9
24	noam464	7
25	Yamdalorian	6
26	cutelilreno	4
27	Lez_	2
27	00000000-0000-0000-0009-01fe065167f0	2
29	pintsizedrogue	1
29	PazinGaming	1
29	MyMawgDonaldsGon	1
29	bl1ss0	1
29	Jackattack53	1
29	Werbe	1
29	Mr_Sun15	1
29	Mr_Froxy	1
