rank	username	minecraft:dropped/minecraft:map
1	beeperbeeper5	304
2	luseis	266
3	EcksD	246
4	thewindmillman	218
5	Blaiku	163
6	kekhon	135
7	FreakGenius	89
8	Smoke____	65
9	TheShyPig	64
10	Werbe	50
11	noam464	47
12	thescout7	44
13	pixelviolin	36
14	Mahoose	34
15	Quaintster	31
16	YungMaki	30
17	TechnoNinja64	26
18	Snowflowe	25
19	SmashingPump	20
20	lordpipe	19
20	Steelynan	19
22	fluddd	17
23	Frozil20	16
24	pintsizedrogue	15
25	Smashic	12
26	EveryonesUncle	11
26	NameGenerat0r	11
28	Lez_	10
29	PlasticOtari	9
30	rarrq	8
30	XboxPanda	8
30	AlexxO_o	8
30	Eraxa	8
34	UncreativeArtist	7
34	Awyrlas	7
34	DarlaMeow	7
37	eitanzaki	6
37	joethahobo	6
37	301851	6
37	_Dean_123	6
37	Kowcio_	6
42	Touched_Bread	5
42	Chromary	5
42	TheTrueClipse	5
45	seanitoo	4
45	Inchef	4
45	lizardfightclub	4
45	lillips	4
45	Groundler	4
45	ConnorDanky_	4
51	Akoot_	3
51	Lord_Zacler	3
51	Vellu21	3
54	Huwulling	2
54	mwrty	2
54	ImDisconnected_	2
54	Ristebraaten	2
54	Di_infiri	2
54	Lord_Jord	2
54	Blu3beast	2
54	censorsheep	2
54	trexgb	2
63	Groovy_MoonBird	1
63	diamondgolem35	1
63	Tolhart	1
63	SyntheticSurgeon	1
63	H72l9w	1
63	Rorrofighter	1
63	Malorn_Aetherius	1
63	Comma__	1
63	MattieHD	1
63	_Nuf	1
63	xxPipperDipperxx	1
63	whoaluv	1
63	Rumpletaezer	1
63	Arceus1975	1
63	Onennon	1
63	Kim_Jong_eel	1
63	Luminad3	1
63	wezzzi	1
63	Fuad_R	1
63	Spacewardharpy7	1
63	MovingFish7	1
63	Wolverine4302	1
63	Enderxz3	1
63	Sral7	1
63	Zoeyfortnite	1
