rank	username	minecraft:dropped/minecraft:oak_sapling
1	Hyp3rion_	79342
2	thewindmillman	9289
3	Spacewardharpy7	6218
4	Blackberry1310	6045
5	AdmiralSmoke	1409
6	Skylord_Luke	1213
7	EveryonesUncle	1147
8	noam464	1131
9	Dogcorn69420	957
10	thescout7	938
11	CoffeeNoir	883
12	eitanzaki	832
13	FreakGenius	830
14	beeperbeeper5	752
15	LordSpeed37	618
16	Huwulling	588
17	_Virify_	512
18	HellsSponge	509
19	HesDemonPants	496
20	PigDab	483
21	Racengan	467
22	joethahobo	408
23	lordpipe	396
24	El_Jalapeno	384
25	TechnoNinja64	362
26	YungMaki	358
27	Kowcio_	351
28	RadarHz	256
29	rarrq	250
30	Nicserso	243
31	Blaiku	240
32	gcaisawesome	233
33	_Mythic____	224
34	Werbe	213
35	Frozil20	207
36	kekhon	202
37	PazinGaming	187
38	Winklepicker279	185
38	Enderxz3	185
40	burbankbuilder28	184
41	Bandito_Roamer	182
42	Di_infiri	173
43	ConnorDanky_	161
44	Ezekson	145
45	Soap_Bender	144
46	Bumpy419	142
47	Segotep999	141
48	Comma__	140
49	EcksD	139
50	yulgur1	138
51	AlphaWolfPlaysMC	129
52	SteveCraftBlocks	119
52	Quotary	119
54	luseis	114
55	eiC_	113
55	calamariclam_I	113
57	NomadicRobin_	108
58	GooseWithin	107
59	Akoot_	105
60	HELLO_I_AM_BEAR	103
61	Eraxa	102
62	MightyWertu	101
63	Touched_Bread	99
64	XboxPanda	97
64	jnp_gaming	97
66	NinjaKnifeKill	94
67	Mahoose	92
67	excelsionprime	92
69	Quaintster	90
69	SkateboardR6	90
69	swimingduck	90
72	SammiWolfGirl	86
73	pintsizedrogue	84
74	Hermanni__	83
75	Raspberry_Sodas	82
76	SexcMf	79
77	Jackattack53	77
78	Panoe	76
78	alderban107	76
78	Vellu21	76
81	2Stout	75
81	PuFY	75
83	Steve897	72
84	Legendosh	71
85	KingMatthew506	70
85	vandmanden	70
87	prizm_	69
88	chlorinex	67
88	stavgod	67
90	Mr_Byzantine	64
90	mwrty	64
92	ChronoSounds	63
92	xzvu	63
94	AlexxO_o	62
95	Incinere	61
96	Onennon	60
96	Blu3beast	60
96	Nycteus_	60
96	TheEnderMan548	60
100	Cocoamallows	59
100	Heisenbberrg	59
100	anbbang	59
103	Xclax101	57
104	Wooptey	55
104	TableTim	55
104	epiksk8erduck	55
104	Tyrannosplart	55
104	_i_ERROR_i_	55
109	Kakolbus	54
109	Groundler	54
111	MoistMicrowave	51
111	ratglock	51
111	Hyperphoenix42	51
114	q_wq	49
114	Cryptacity	49
114	bluefragmentt	49
117	_Huge_Male_	48
117	Ryan_GEMS	48
117	SDMNAEK	48
117	Z3braYTIL	48
117	Steelynan	48
122	gustarlep	47
123	RebelAndroid	46
124	UCP_TheKingK	44
125	_Razaria	43
125	Lez_	43
125	Mewar	43
128	gaziter10	42
129	ZaneABrain	41
129	Maenara	41
129	Blamphe	41
129	Avocadogerms	41
129	SpacesickPrism	41
134	groofles	40
134	Lord_Jord	40
134	ChocolatePepsi	40
137	k_ce	39
137	iElijah	39
139	Cowison	38
140	jcool7	37
141	JETrotter	36
141	PlzNoBM	36
143	PeteO1995	35
143	Soplight	35
145	surfinggiraffejp	34
145	Rebytre	34
145	Hiryu27	34
145	FGamerJ	34
149	Flores991	33
149	Ao_Ken	33
149	UncreativeArtist	33
149	wrinkledpiglet	33
149	EfficientC52	33
154	platinumzero	32
154	Jonafrog99	32
154	marumochis	32
154	mihimihimihi	32
158	Groovy_MoonBird	31
158	TheSecondLord	31
158	Nicky19	31
158	MakeHistory157	31
162	Iamthejo	30
163	EMC_	29
163	SyntheticSurgeon	29
163	fr0stss	29
163	Krowuss	29
163	Drewen24	29
163	fluddd	29
169	FroggoTheDoggo	28
169	Iagoku	28
169	TheSeismicDuck	28
172	ShedJr_	27
172	Malorn_Aetherius	27
172	DarkS0L	27
175	Sna_Ke	26
175	Gingayy	26
175	Covalents	26
175	Shiirazu	26
175	majlin16	26
175	Powowowow	26
181	Bad_At_Names_Guy	25
182	angelinaur	24
182	seanitoo	24
182	BronkerBrum	24
182	IamCL4SSY	24
182	masskedman	24
182	MustaLoordi	24
182	sp00ky_ghost977	24
182	obzii	24
190	livingdaydreams	23
190	Zythose	23
190	LeEricc	23
190	diggydog67	23
194	teslawolf38	22
194	500am	22
194	Nach0Bear	22
194	DarlaMeow	22
194	_Karmaa	22
194	kyouma777	22
194	Kyrum2169	22
201	H0UNDFRMH3LL	21
201	gren_ben	21
201	CollinMH06	21
201	AJplaysMC_	21
201	Jimb0nat0r	21
206	benediktine1	20
206	_Bguette_	20
206	DemTechAlpha	20
206	Warlord324	20
206	al626win52	20
206	Zoeyfortnite	20
212	lotarp	19
212	NotKaden_	19
212	hanaryheatwave	19
212	DaviusMaximoose	19
212	Kferno	19
212	momis24	19
218	12Magner05	18
218	ROY4LE	18
218	Karetoko	18
218	Cyntrical	18
218	lcvezra	18
218	zOnlyKroks	18
224	I_Am_Mushkin	17
224	Ssor69	17
224	_Dean_123	17
224	whoaluv	17
224	Elastiq	17
224	ogoa	17
230	RoskobiOne	16
230	SquadMonster	16
230	corvidpartyfor6	16
230	fade_emerge78823	16
230	Arceus1975	16
230	Mattesco	16
230	lizardfightclub	16
230	LeonelSalamanca	16
230	DTwenty	16
230	Fuad_R	16
230	JoCoLi	16
230	CalebDHawk	16
230	xolstoi	16
243	Apollo_993	15
243	Sleepy_Time_	15
243	lorpus	15
243	The11thDoctor	15
243	wobn	15
243	Kubeusz2010	15
249	ECstardust	14
249	Crowman1	14
249	ItsHydroMC	14
249	m_be9	14
249	_Nuf	14
249	Smashic	14
249	Parcc	14
249	avalan64	14
249	non089	14
249	NATE_the_HALO	14
249	2blox_	14
260	Ev0luti0nz	13
260	Andy__Dufresne	13
260	Awyrlas	13
260	himak1	13
260	AnnieBathory	13
260	tobinwilliams	13
260	jewbacaman	13
260	fkGrim	13
260	MinuteMira	13
260	Sh4bby	13
260	DennyKai	13
271	hollowww	12
271	Merv__	12
271	Kuragari_	12
271	FirsTimeGamingTV	12
271	Vizzoid	12
