rank	username	minecraft:dropped/minecraft:snow
1	Mattesco	6916
2	noam464	5455
3	beeperbeeper5	5061
4	luseis	4445
5	k_ce	4172
6	thewindmillman	2651
7	jcool7	2281
8	cuddlyMonster	2260
9	PigDab	2002
10	Groundler	1969
11	Yamdalorian	1827
12	diamondgolem35	1610
13	SuperPooch06	1361
14	mihimihimihi	1345
15	Kowcio_	1188
16	Blaiku	1085
17	Ezekson	1053
18	12Magner05	1002
19	WyngGoy	951
20	Di_infiri	944
21	Blu3beast	841
22	pintsizedrogue	810
23	Groovy_MoonBird	694
24	lordpipe	675
25	TheSecondLord	623
26	Lez_	553
27	gcaisawesome	537
28	Kkanot	535
29	milltesco	525
30	melono_o	375
31	Segotep999	373
32	Akoot_	359
33	Blackberry1310	358
34	IamCL4SSY	352
35	FishyBoy3811	340
36	Jimb0nat0r	320
37	RebelAndroid	299
37	oscminus	299
37	claivin	299
40	Studio4x32	297
41	Chromary	292
42	hanaryheatwave	266
43	xzvu	263
44	Pumpkin_P_Patch	258
45	excelsionprime	257
46	Arceus1975	227
47	Iamthejo	226
48	HellsSponge	219
48	doublemaki	219
50	MinttyFressh	200
51	Nateman1000	192
52	Manaateee	188
53	Secret_Canary	182
54	MattieHD	181
54	Jackattack53	181
56	craaaash	180
57	joethahobo	176
58	_Dean_123	175
59	jnp_gaming	170
60	El_Jalapeno	169
61	Winklepicker279	165
62	PlasticOtari	160
63	kekhon	154
64	Cowison	150
64	eitanzaki	150
66	emreknugrlu	149
67	Historical_Sand	148
68	robertsnose	144
69	Deathkob	142
70	pixelviolin	137
71	Spenduh	135
72	Jiminbub	128
73	Bumpy419	123
74	Krowuss	117
75	_flud	114
76	RobotMinion101	102
77	Soplight	100
78	Lutres_	98
79	Eraxa	97
80	mymayowasgone	96
81	TheWickedBird	94
82	Mahoose	93
83	LuvLuvLove	92
84	TheSandwhich_	85
85	PhantomsGhost_	83
85	m_be9	83
87	Comma__	81
88	BadenStayFly	80
89	TheOuterCore	71
90	ShedJr_	68
91	TheKingK_	67
92	Alphanzt99	64
93	stellarjay	62
94	kyouma777	61
95	EMC_	59
96	Incinere	56
96	burbankbuilder28	56
98	ConnorDanky_	51
99	EcksD	48
100	NameGenerat0r	47
101	Skylord_Luke	45
102	Inchef	41
103	set67	40
104	Frozil20	39
105	Onennon	37
106	Hoid_the_Roamer	36
107	Spacewardharpy7	35
108	Crowman1	33
108	PortlyPete69	33
110	Steelynan	31
111	SvenskaHugo	29
112	500am	28
112	Hyp3rion_	28
114	teslawolf38	25
114	2blox_	25
116	pappaberg	24
116	HolyVenom	24
116	masskedman	24
119	Tyrannosplart	23
120	Huwulling	22
120	Flapjacker687	22
120	DarlaMeow	22
120	IAmTheWalrus910	22
120	scarletwarrior1	22
125	Apollo_993	21
125	ECstardust	21
125	hermmm_	21
128	StarCookiees_	20
128	Biites	20
130	MSK__	19
131	LeauVox4921	18
131	ChronoSounds	18
131	Nicserso	18
131	trexgb	18
135	IWorkAtIkea	16
135	emrekn	16
135	Marbz_	16
135	obzii	16
139	rarrq	15
139	Vegvisir	15
139	Enderxz3	15
142	Sqwishy	14
142	Druid95	14
144	Merv__	13
144	hoaimi	13
146	Masssonnn	12
146	Rumpletaezer	12
146	MinerDec	12
146	GravitySaint	12
150	seanitoo	11
150	11Brewer	11
152	QuiCreans	10
152	Paintz	10
152	Rebytre	10
152	Moss_2006	10
156	Smashic	9
156	MrShojo	9
158	bigstankyy	8
158	Wooptey	8
158	bloodbiter	8
158	JESS_THE_RERE	8
158	fffMike	8
158	DairyNickel756	8
164	powercas_gamer	7
164	TheShyPig	7
164	EngagedGrub41	7
167	KarlKaek	6
167	XRAYDELTATANGO	6
167	NomadicRobin_	6
170	q_wq	5
170	2Stout	5
170	Touched_Bread	5
170	Mr_Sun15	5
170	Sorins	5
175	Lazy_geniusig	4
175	Elastiq	4
177	Mr_Byzantine	3
177	6king6colt6	3
177	Batman922	3
177	royal_2	3
177	Cortexia	3
177	thescout7	3
177	ROY4LE	3
177	Werbe	3
177	yulgur1	3
177	TheSeismicDuck	3
177	Racengan	3
177	miramyu	3
189	hm947	2
189	Alteriity	2
189	Literally_Rat	2
189	titanlax	2
189	Tersea_	2
189	gilesmcriles	2
189	hydrothebot	2
189	TheThomas69	2
189	Fullut	2
189	surfinggiraffejp	2
189	bl1ss0	2
189	MightyWertu	2
189	KingMatthew506	2
202	SyntheticSurgeon	1
202	CoffeeNoir	1
202	CedeMC	1
202	lorpus	1
202	fade_emerge78823	1
202	Afinnity	1
202	AlexxO_o	1
202	sammidk	1
202	fw3xy	1
202	DemTechAlpha	1
202	StinkyDiplomat	1
202	Typadopoulos	1
202	non089	1
202	ProbsNotNova	1
202	Winston_Ingram	1
202	CattSoup	1
