rank	username	minecraft:dropped/minecraft:warped_fungus
1	noam464	28101
2	eitanzaki	4371
3	thewindmillman	2752
4	Blaiku	341
5	500am	225
6	Di_infiri	157
7	KG1999	130
8	HolyVenom	87
9	Humpcat	77
10	T045RTY	57
11	rarrq	42
12	oxfordschool	35
13	kekhon	29
14	Purplera	19
14	Spacewardharpy7	19
16	beeperbeeper5	17
17	Skylord_Luke	14
18	Fullut	12
19	MineMaster0012	10
20	pumpfonzo	7
20	YungMaki	7
22	Winklepicker279	6
22	Kowcio_	6
22	PlasticOtari	6
25	pintsizedrogue	5
25	djancak	5
27	EcksD	4
28	BlancoFlaco	3
28	Blackberry1310	3
28	monky_irl	3
28	Luigipunch989	3
32	Arceus1975	2
32	PuFY	2
32	AuroraSkies	2
32	lillips	2
32	DarlaMeow	2
32	Smoke____	2
38	soundad	1
38	_Razar	1
38	Mahoose	1
38	ShedJr_	1
38	joethahobo	1
38	crying_wolf_13	1
38	UncreativeArtist	1
38	mwrty	1
38	_Magdo_	1
38	gcaisawesome	1
38	Kakolbus	1
38	Hyp3rion_	1
38	burbankbuilder28	1
38	Afinnity	1
38	YahooScreen9000	1
38	Akoot_	1
38	DanTheBuilderino	1
38	Freak_Genius	1
38	501g	1
38	Dusk_95	1
38	Optiprimus	1
38	Eraxa	1
38	SammiWolfGirl	1
38	MilleGrug	1
38	mobunni	1
38	Ezekson	1
38	TechnoNinja64	1
38	trexgb	1
