rank	username	minecraft:dropped/minecraft:end_stone_bricks
1	PigDab	1015
2	mihimihimihi	903
3	PhantomsGhost_	751
4	doublemaki	675
5	mwrty	603
6	Blu3beast	520
7	noam464	411
8	Blackberry1310	342
9	masskedman	270
10	eitanzaki	260
11	jnp_gaming	239
12	xzvu	238
13	jcool7	206
14	Blaiku	189
15	11Brewer	157
16	NameGenerat0r	142
17	yheece	128
18	yulgur1	126
19	Di_infiri	116
19	seramalen	116
21	Historical_Sand	112
22	Dogcorn69420	107
23	SuperPooch06	106
24	thewindmillman	104
25	gcaisawesome	102
26	audiocracked	101
27	Jackattack53	99
28	Tyrannosplart	96
29	beeperbeeper5	93
30	Yamdalorian	91
31	emreknugrlu	89
32	6king6colt6	86
33	Lepthymo	84
34	Jimb0nat0r	83
35	Mahoose	82
36	Bumpy419	81
37	_TCARREIRA_	80
38	Kowcio_	74
39	robertsnose	71
40	pintsizedrogue	70
40	_Nuf	70
40	HellsSponge	70
43	Awyrlas	67
44	shineh10	65
44	EMC_	65
46	SyntheticSurgeon	64
46	epiksk8erduck	64
48	Ezekson	63
49	h2p_emrld	59
50	surfinggiraffejp	56
51	Werbe	55
52	EveryonesUncle	53
53	Onennon	52
54	miramyu	47
55	H0UNDFRMH3LL	42
55	AlexxO_o	42
57	SvenskaHugo	41
57	HesDemonPants	41
57	Sral7	41
60	thescout7	40
61	set67	35
62	Secret_Canary	34
62	Mewar	34
64	Frozil20	32
65	lorywithay	31
65	Zythose	31
67	MustaLoordi	30
67	Xclax101	30
67	Skippeh	30
70	Racengan	28
71	EcksD	27
72	Dakar_	26
73	Iagoku	24
73	Hisiste	24
73	MilleGrug	24
76	TheSecondLord	23
76	_flud	23
76	DairyNickel756	23
79	Hyp3rion_	22
80	Comma__	21
81	ECstardust	20
81	ElectricDragon81	20
83	_Karmaa	18
84	Rich_Kat	17
84	Inchef	17
84	DTwenty	17
84	LazySupport00	17
88	jushykins	16
89	Fullut	15
89	Spacewardharpy7	15
89	Segotep999	15
89	ConnorDanky_	15
93	AuroraSkies	14
93	501g	14
95	royal_2	13
95	ROY4LE	13
95	Covalents	13
95	LilyNova	13
99	goldyx	12
99	Manaateee	12
99	El_Jalapeno	12
102	EdGalbraith	11
102	MovingFish7	11
102	TwinTowerV2	11
105	SpartanNamor	10
105	elicobnoah	10
105	CLG_Kata	10
105	T045RTY	10
105	m_be9	10
105	Fullbit_	10
105	__TheNorseMan__	10
105	Deodorante	10
105	brofrickcheaters	10
114	Marbz_	9
114	Buuck_	9
114	iSammael	9
117	MixerDixer	8
117	hanaryheatwave	8
117	hoaimi	8
117	fkGrim	8
117	MightyWertu	8
117	FiguraDei	8
117	Soplight	8
117	UrbanPlanningEx	8
125	q_wq	7
125	ShedJr_	7
125	OreTheBear	7
125	fw3xy	7
125	That_tech_head	7
125	Quotary	7
131	powercas_gamer	6
131	NotMyLucKMC	6
131	_Razaria	6
131	12Magner05	6
131	kekhon	6
131	Kakolbus	6
131	Donutt	6
131	Rasmanden	6
131	Maenara	6
131	MrQuanQuan	6
131	TheEnderMan548	6
131	LeEricc	6
131	CalebDHawk	6
131	vandmanden	6
145	Ryan_GEMS	5
145	philandr	5
145	John6970	5
145	FishyBoy3811	5
145	NomadicRobin_	5
145	FreakGenius	5
145	geekbird	5
145	es0th	5
153	SaucyDark	4
153	TooManyDuck	4
153	Incinere	4
153	SailiXX	4
153	CollinMH06	4
153	Krowuss	4
153	oscminus	4
153	Inbefour	4
153	claivin	4
153	TechnoNinja64	4
163	Napoleonpancake	3
163	bigstankyy	3
163	ActualPatbaf	3
163	xxPipperDipperxx	3
163	ApophisNova	3
163	Samificator	3
163	wezzzi	3
163	Kura2218	3
163	Kekoo	3
163	MyNamaSheff	3
163	2blox_	3
163	FishisTTV	3
175	horrayhorray123	2
175	ZaneABrain	2
175	Myszoaz	2
175	Whiterooster001	2
175	MinttyFressh	2
175	Xalithia	2
175	r123moore	2
175	mariominejedi	2
175	Ender_Souls	2
175	ougstur	2
175	blackeemperor	2
175	Barlycorn	2
175	WyngGoy	2
175	Strangemonkey71	2
175	Spenduh	2
175	stellarjay	2
175	PortlyPete69	2
175	hermmm_	2
175	Enderxz3	2
194	Bandito_Roamer	1
194	Apollo_993	1
194	dabloons	1
194	BodaciousCake	1
194	Seyaboy	1
194	joethahobo	1
194	HUNTERmaun	1
194	zorin123	1
194	excelsionprime	1
194	lorpus	1
194	Noah_Bez	1
194	XboxPanda	1
194	Zaridey	1
194	craaaash	1
194	ElementalHeroGJH	1
194	zToasty69z	1
194	SkateboardR6	1
194	lordpipe	1
194	__tomato	1
194	chiakirice	1
194	Spaghettatron	1
