rank	username	minecraft:dropped/minecraft:honeycomb
1	thewindmillman	111078
2	noam464	27576
3	EcksD	981
4	ImpavidArcher	403
5	TheSecondLord	300
6	eitanzaki	255
7	Blaiku	237
8	pintsizedrogue	193
9	Fullut	184
10	lordpipe	173
11	Zoeyfortnite	128
12	Soplight	127
13	Smoke____	89
14	Werbe	70
15	joethahobo	67
16	Jiminie	62
17	Freak_Genius	42
18	Mahoose	40
19	PhantomsGhost_	38
20	HellsSponge	18
20	NameGenerat0r	18
20	MightyWertu	18
23	PortlyPete69	16
24	Blackberry1310	13
25	djancak	12
26	EMC_	10
27	Akoot_	6
28	500am	5
29	EveryonesUncle	4
29	oxfordschool	4
31	Di_infiri	3
31	fkGrim	3
31	Blu3beast	3
31	TechnoNinja64	3
35	Groovy_MoonBird	2
35	beeperbeeper5	2
35	Kakolbus	2
35	monky_irl	2
35	kinas45y5	2
40	Inchef	1
40	Rebytre	1
40	Frozil12	1
40	Eraxa	1
40	alderban107	1
