rank	username	minecraft:dropped/minecraft:chest
1	Hyp3rion_	361857
2	thewindmillman	340811
3	noam464	63866
4	EcksD	50432
5	Spacewardharpy7	17375
6	catandmoose	13340
7	mihimihimihi	7493
8	Jackattack53	3515
9	eitanzaki	2603
10	hanaryheatwave	2442
11	Lez_	911
12	PigDab	631
13	Legendosh	515
14	Blaiku	488
15	Chromary	469
16	xzvu	417
17	kekhon	362
18	Werbe	340
19	Mahoose	331
20	lordpipe	314
21	SteveCraftBlocks	303
22	AdmiralSmoke	273
23	thescout7	256
24	lillips	224
25	Alteriity	216
26	wTXop	196
27	MineMaster0012	194
28	Spenduh	189
29	Segotep999	184
30	fffMike	158
31	TechnoNinja64	157
32	Kowcio_	133
33	beeperbeeper5	132
33	FreakGenius	132
35	Krowuss	129
36	_Nuf	118
37	MattieHD	117
38	_Mythic____	116
39	joethahobo	108
40	HellsSponge	105
41	Akoot_	101
42	Ezekson	99
43	jnp_gaming	92
44	Huwulling	89
45	EveryonesUncle	88
46	Di_infiri	86
47	Mattesco	85
48	Txeptsyip	78
49	NameGenerat0r	75
50	PazinGaming	74
50	groofles	74
52	Fullut	72
53	YungMaki	71
54	Masssonnn	70
55	EMC_	68
56	ShedJr_	67
56	xolstoi	67
58	Marbz_	66
59	Comma__	65
59	M_Patata	65
61	luseis	63
62	Skippeh	61
63	Frozil20	60
64	Uzbeki_John	55
64	censorsheep	55
66	eviltunix	54
67	TheSecondLord	52
68	AuroraValkyrie	51
69	VentiHilton	49
69	Nicserso	49
71	Soplight	48
71	ConnorDanky_	48
73	Blackberry1310	47
74	seramalen	45
74	Fuad_R	45
74	Zoeyfortnite	45
77	nocturne78	44
77	Iamthejo	44
79	Bumpy419	43
80	_Dean_123	39
81	Malorn_Aetherius	38
82	WyngGoy	37
83	tuckerdoodle	36
83	Racengan	36
83	Jimb0nat0r	36
86	6king6colt6	34
87	KarlKaek	33
87	Lord_Jord	33
89	sumwun19	32
90	SvenskaHugo	31
90	Faart	31
92	Awyrlas	29
92	shadowthemonkey	29
92	Meeerkat	29
95	firesgal3116	28
95	Arceus1975	28
97	gcaisawesome	27
97	PlzNoBM	27
99	Crowman1	26
99	OfficerAnvil	26
101	lcvezra	25
102	PhantomsGhost_	24
102	ImpavidArcher	24
104	diamondgolem35	23
105	rarrq	22
106	Jovaphobic	21
106	pintsizedrogue	21
106	k_ce	21
106	_Virify_	21
106	Rasmanden	21
111	Apollo_993	20
111	Sabby65	20
111	set67	20
111	MightyWertu	20
115	Skylord_Luke	19
115	Eraxa	19
117	NatalieTW	18
117	zToasty69z	18
117	AlphaWolfPlaysMC	18
117	GravitySaint	18
117	stavgod	18
117	SpacesickPrism	18
123	SmashingPump	17
123	ebanana	17
125	itburb	16
125	SlayerCrypto	16
125	Snowflowe	16
125	jcool7	16
129	iElijah	15
129	fluddd	15
129	Toriankel	15
129	Luigipunch989	15
133	livingdaydreams	14
133	T045RTY	14
133	mwrty	14
133	Rebytre	14
133	Hiryu27	14
133	Tyrannosplart	14
133	Groundler	14
133	skrongus	14
141	Inchef	13
141	SPUDonSTEROIDS	13
141	Soap_Bender	13
141	MovingFish7	13
145	TildaAndrea	12
145	Touched_Bread	12
145	420BreadLizard	12
145	Blu3beast	12
145	Xclax101	12
145	_i_ERROR_i_	12
145	MilleGrug	12
145	KingMatthew506	12
153	Groovy_MoonBird	11
153	Mr_Byzantine	11
153	Houstonion	11
153	Rich_Kat	11
153	legal_tax_evader	11
153	Onennon	11
153	FishyBoy3811	11
