rank	username	minecraft:dropped/minecraft:spruce_leaves
199	2extreeme	2
199	CrateOfBoxes	2
199	Krowuss	2
199	TheShyPig	2
199	TheSeismicDuck	2
199	MightyWertu	2
199	Ze_BaronKrigler	2
199	layabout100	2
199	_i_ERROR_i_	2
199	Sheldor097	2
199	trexgb	2
221	pintsizedrogue	1
221	NatalieTW	1
221	Froste131	1
221	SmashingPump	1
221	Niklas20114552	1
221	powercas_gamer	1
221	BlancoFlaco	1
221	abdomera	1
221	MOSS000	1
221	skroobiez	1
221	TheMaster972	1
221	QuiCreans	1
221	Sleepy_Evelyn	1
221	Smashic	1
221	4774	1
221	SpicyMeatballs	1
221	Kakolbus	1
221	__Fanda__	1
221	Gzrdy	1
221	Jonafrog99	1
221	killmeiamtraitor	1
221	Rocco_Lane	1
221	Hoid_the_Roamer	1
221	OreTheBear	1
221	Cruncy_	1
221	DC_XII	1
221	Elastiq	1
221	MankMaestro	1
221	Lutres_	1
221	Smiguli_	1
221	obzii	1
221	CalebDHawk	1
221	Enderxz3	1
221	Jimb0nat0r	1
221	annebolyn	1
