rank	username	minecraft:dropped/minecraft:yellow_banner
1	SteveCraftBlocks	44
2	500am	30
3	pintsizedrogue	21
4	Huwulling	18
5	Smashic	16
6	beeperbeeper5	13
7	PhantomsGhost_	11
8	WyngGoy	10
9	luseis	9
10	Mahoose	7
10	Soplight	7
12	shineh10	6
12	Kowcio_	6
14	Arceus1975	4
15	EveryonesUncle	3
15	UCP_TheKingK	3
15	h2p_emrld	3
18	Bandito_Roamer	2
18	Lez_	2
18	Historical_Sand	2
21	Merv__	1
21	Frozil20	1
21	ImpavidArcher	1
21	titanlax	1
21	_Dean_123	1
21	Xalithia	1
21	Hyp3rion_	1
21	Xclax101	1
21	JoCoLi	1
21	LazySupport00	1
21	Spacewardharpy7	1
21	lordpipe	1
21	TheAlmightyMoist	1
21	Steelynan	1
