rank	username	minecraft:dropped/minecraft:dark_oak_boat
1	beeperbeeper5	48
2	TechnoNinja64	42
3	eitanzaki	36
3	Werbe	36
5	noam464	29
6	Blaiku	25
7	SteveCraftBlocks	22
8	Blackberry1310	21
8	kekhon	21
10	FreakGenius	20
11	Skippeh	18
12	Frozil20	17
13	_Karmaa	14
13	OfficerAnvil	14
13	Smoke____	14
16	TheSecondLord	13
17	Mahoose	12
17	rarrq	12
17	Eraxa	12
20	Soplight	11
20	Ezekson	11
22	Hyp3rion_	10
23	Chromary	9
23	CalebDHawk	9
25	joethahobo	8
25	Fullut	8
27	pintsizedrogue	7
27	Groovy_MoonBird	7
27	Euclidoris	7
27	burbankbuilder28	7
27	DarlaMeow	7
27	SkateboardR6	7
27	Kowcio_	7
27	LeeMcGee30	7
27	ConnorDanky_	7
36	BobDeBouwer1337	6
36	thewindmillman	6
36	Akoot_	6
36	wezzzi	6
36	Tyrannosplart	6
36	NameGenerat0r	6
36	claivin	6
36	SammiWolfGirl	6
36	fffMike	6
36	EcksD	6
36	xolstoi	6
47	Di_infiri	5
47	PigDab	5
47	IamCL4SSY	5
47	Spacewardharpy7	5
47	Razzgriz	5
47	gusstationwerker	5
47	xzvu	5
47	jnp_gaming	5
55	I_Am_Mushkin	4
55	ImpavidArcher	4
55	binman420	4
55	lillips	4
55	QueenShuvi	4
55	fluddd	4
55	MightyWertu	4
55	__Auspicious	4
55	YungMaki	4
55	PlzNoBM	4
55	Sheldor097	4
55	Dreamdbr14	4
55	_AAZAR	4
55	HesDemonPants	4
55	MirielThePastor	4
55	2bolx_	4
55	Zoeyfortnite	4
55	FishisTTV	4
73	6king6colt6	3
73	H72l9w	3
73	Valoth	3
73	Koffeeinz	3
73	Kamflame10	3
73	TheDankPlatypus	3
73	fr_ser	3
73	MyNameIsJobo	3
73	killmeiamtraitor	3
73	Hiryu27	3
73	Lord_Jord	3
73	NomadicRobin_	3
73	Inbefour	3
73	luseis	3
73	Deathkob	3
73	avalan64	3
73	ElectricDragon81	3
73	__tomato	3
73	KingMatthew506	3
92	PhantomsGhost_	2
92	MixerDixer	2
92	teslawolf38	2
92	EMC_	2
92	Incinere	2
92	T045RTY	2
92	SyntheticSurgeon	2
92	WarHammer3	2
92	Swexti	2
92	heckface	2
92	MinePowerz	2
92	cheerytomato	2
92	NieToksikpl	2
92	m_be9	2
92	GingerNeutron	2
92	Smashic	2
92	crying_wolf_13	2
92	set67	2
92	mwrty	2
92	ROY4LE	2
92	r123moore	2
92	Kubelz	2
92	fReE_bAtWiNg	2
92	CloudyPowdy	2
92	ooga47	2
92	Leyna3	2
92	EveryonesUncle	2
92	Fuad_R	2
92	weabis	2
92	El_Jalapeno	2
92	Groundler	2
92	Hisiste	2
92	lordpipe	2
92	AvaRosey	2
92	Kura2218	2
92	brofrickcheaters	2
92	SpacesickPrism	2
92	MilleGrug	2
92	alderban107	2
92	Enderxz3	2
92	bladeefan2009	2
92	trexgb	2
134	naser_0_0_	1
134	NatalieTW	1
134	Froste131	1
134	Jalvajar	1
134	Cowison	1
134	Merv__	1
134	AuroraValkyrie	1
134	Jackywho	1
134	LovelyDane	1
134	KarlKaek	1
134	martvnka	1
134	Sabby65	1
134	Wooptey	1
134	Jahara	1
134	Umbre_19	1
134	NinjaKnifeKill	1
134	ShedJr_	1
134	MOSS000	1
134	Lez_	1
134	Historical_Sand	1
134	oreee	1
134	Whiterooster001	1
134	FirsTimeGamingTV	1
134	Ozixar	1
134	Malorn_Aetherius	1
134	ZigzagLily43042	1
134	ratglock	1
134	Comma__	1
134	bloodbiter	1
134	12Magner05	1
134	Ardennes	1
134	corvidpartyfor6	1
134	eclipseboi	1
134	shyshyannne	1
134	Austine6698	1
134	500am	1
134	wxmx567	1
134	Scathra	1
134	thescout7	1
134	NotMeanttoChange	1
134	eviltunix	1
134	intropass	1
134	Xalithia	1
134	__TheNorseMan__	1
134	xxPipperDipperxx	1
134	gcaisawesome	1
134	platinumzero	1
134	benediktine1	1
134	Bolete	1
134	John6970	1
134	mimbo1211	1
134	Zaridey	1
134	Kakolbus	1
134	Mouse74	1
134	ImDisconnected_	1
134	Bazongoman	1
134	Winklepicker279	1
134	Jackattack53	1
134	Arceus1975	1
134	Zythose	1
134	King_Pancake1	1
134	andy_rex	1
134	CranialBlowout	1
134	Solar_Power	1
134	Azmodan_246	1
134	CaptainDeadBread	1
134	SonicRainBow_	1
134	The11thDoctor	1
134	NNikitas	1
134	DeeDeeThonk	1
134	F_Uhre	1
134	Kynigito	1
134	jewbacaman	1
134	ougstur	1
134	FishyBoy3811	1
134	lizardfightclub	1
134	Luminad3	1
134	Rasmanden	1
134	TJawesome09	1
134	sxc_	1
134	Maenara	1
134	ADEXTV	1
134	Pootis11	1
134	BRICS	1
134	stuy9	1
134	DTwenty	1
134	_Bguette_	1
134	xofe	1
134	the_russell1611	1
134	Babushka0430	1
134	1442	1
134	HellsSponge	1
134	Shogunite	1
134	mafiKiwi	1
134	Quaintster	1
134	LordLukas04	1
134	Blu3beast	1
134	censorsheep	1
134	rezi	1
134	cog	1
134	Gonca_52	1
134	ProfessorDiaper	1
134	TheTommyGun63	1
134	IAmTheWalrus910	1
134	bruh072	1
134	sp00ky_ghost977	1
134	BlueWyvern16	1
134	stavgod	1
134	IdeallyGrey	1
134	pixelviolin	1
134	Azazel_Echo	1
134	djancak	1
134	starbits140	1
134	PortlyPete69	1
134	_Yonk_	1
134	DoctorMagnus	1
134	Dogcorn69420	1
134	ThisUserIsStump	1
134	Steelynan	1
134	Hermanni__	1
134	ZoomieZoomie	1
134	TheOnlyRake	1
134	cichy096	1
134	FelixPSY375	1
134	Legendosh	1
134	UrbanPlanningEx	1
134	omgitsdan33	1
134	PlasticOtari	1
134	camando92	1
134	diggydog67	1
134	00000000-0000-0000-0009-01f16526f034	1
