rank	username	minecraft:dropped/minecraft:purple_terracotta
1	thewindmillman	83324
2	RatatJuice	64
2	Shogunite	64
4	eitanzaki	39
5	noam464	10
5	chipklip	10
7	__Auspicious	8
8	beeperbeeper5	5
9	Mahoose	3
9	mwrty	3
11	bigstankyy	1
11	Rumpletaezer	1
