rank	username	minecraft:dropped/minecraft:clay_ball
1	thewindmillman	529769
2	12Magner05	1314
3	ECstardust	1091
4	beeperbeeper5	1075
5	LeonelSalamanca	985
6	H0UNDFRMH3LL	962
7	Wowful	728
8	Nicserso	593
9	T045RTY	576
10	MandenR1	544
11	thescout7	522
12	xxPipperDipperxx	448
13	Lez_	426
14	Blaiku	424
15	k_ce	392
16	the__Reaper4999	360
17	Legendosh	352
18	Spacewardharpy7	345
19	Di_infiri	310
20	lillips	293
21	_Mythic____	288
22	coobert42	276
23	Enderxz3	259
24	Quaintster	256
25	tlustyCZARNY	240
26	Tyrannosplart	223
27	Jimb0nat0r	208
28	fw3xy74	204
29	Luminad3	190
30	Fuad_R	189
31	RedcatVII	184
32	LeGold	176
33	Spenduh	168
33	EcksD	168
35	Killercatty78	164
35	EveryonesUncle	164
35	YungMaki	164
38	SyntheticSurgeon	160
39	lizardfightclub	145
40	Groovy_MoonBird	141
41	maxdacatv2	140
42	Kyrum2169	138
43	Hyp3rion_	129
44	hm947	120
44	PigDab	120
44	Hahaa_0	120
47	Jiminbub	119
48	Rebytre	116
48	HolyVenom	116
50	Blu3beast	113
51	ReyTheLegend	112
52	Skylord_Luke	109
53	FreakGenius	107
54	Felenov	100
55	vandmanden	99
56	Blackberry1310	96
56	Maenara	96
58	Kowcio_	95
58	Segotep999	95
60	Toriankel	94
61	Xalithia	92
61	DolphinLaugh	92
61	fffMike	92
64	PazinGaming	88
64	Akoot_	88
66	_i_ERROR_i_	86
67	dartwaffle	84
67	Lord_Jord	84
67	00000000-0000-0000-0009-01ff0c3e5e4f	84
70	AlexxO_o	83
71	chrolus	80
71	groofles	80
71	Sral7	80
74	Mattesco	78
75	Alteriity	76
75	AuroraSkies	76
75	mihimihimihi	76
75	lordpipe	76
79	Comma__	75
80	_Huge_Male_	72
80	Optiprimus	72
82	NieToksikpl	70
83	PhantomsGhost_	64
83	bigstankyy	64
83	itburb	64
83	corvidpartyfor6	64
83	Mewar	64
83	ApophisNova	64
83	MAns_44	64
83	Xclax101	64
83	AssassinAshton	64
83	NebulousBadger	64
83	laron58	64
83	MyNamaSheff	64
95	CalebDHawk	61
95	anbbang	61
97	SingedBread	60
98	xzvu	58
99	_Dean_123	56
99	intropass	56
101	Inchef	53
101	Dakar_	53
103	Saucepeh	52
103	ElKaySVK	52
105	Kubelz	48
105	Powowowow	48
107	Sleepy_Time_	45
107	AdmiralSmoke	45
109	XboxPanda	44
110	CLG_Kata	40
110	Jackattack53	40
110	burbankbuilder28	40
110	oscminus	40
110	seramalen	40
110	claivin	40
110	ItsDeltaMC	40
110	StarCookiees_	40
118	noam464	39
119	fallingemma	38
120	Huwulling	37
121	gcaisawesome	36
121	natajimi	36
121	Yahir091	36
124	Ma_name_alex	33
124	Hermanni__	33
126	LagVibes	32
126	dopplexd	32
126	Corbsman	32
126	ScootOfBoot	32
130	Karbl	29
131	lunathelemon	28
131	Cryptacity	28
131	TheSecondLord	28
131	Fullut	28
135	teslawolf38	24
135	Masssonnn	24
135	corpsecity	24
135	ooga47	24
135	Aryamanee	24
140	Manaateee	23
141	EMC_	20
141	Miroryk	20
141	Smashic	20
141	Awyrlas	20
141	hanaryheatwave	20
141	AlphaWolfPlaysMC	20
141	madderfall	20
141	KujikawaRisechi	20
141	SammiWolfGirl	20
141	MilleGrug	20
151	Rumpletaezer	18
151	Racengan	18
153	Stynxy	16
153	ItsDed	16
153	drunkeeez	16
153	NLKBuilder	16
153	AJplaysMC_	16
153	Silvo614	16
153	ItsMrRamen	16
153	Bumpy419	16
153	TJawesome09	16
153	luseis	16
153	non089	16
153	skrongus	16
153	Zoeyfortnite	16
166	CaptainDeadBread	15
167	ItsColin11	14
167	elmer1234	14
167	SSytex_X	14
167	xolstoi	14
171	500am	13
171	Werbe	13
171	Kubeusz2010	13
174	JohnnyFyes	12
174	BigBootyHudge	12
174	eitanzaki	12
174	Archsam	12
174	ITDV	12
174	Eczbox	12
174	SvenskaSara	12
174	Hiryu27	12
174	zToasty69z	12
174	audiocracked	12
174	Eczbek	12
174	TheOuterCore	12
174	little_dUki	12
187	HellsSponge	11
188	2blox_	10
188	PlasticOtari	10
190	joethahobo	9
190	fade_emerge78823	9
190	PortlyPete69	9
193	Merv__	8
193	Frozil20	8
193	Wooptey	8
193	lorywithay	8
193	CoffeeNoir	8
193	MoistMicrowave	8
193	Mahoose	8
193	Da_Boss_Rani	8
193	kekhon	8
193	SeverianOfUrth	8
193	HeraclesOGU	8
193	PaperCanvas	8
193	parodypatient	8
193	XxCookiequeenxX	8
193	Fuhrer_Teemo	8
193	Groundler	8
193	THEKINGLyric10	8
193	radioactv_jelly	8
193	geekbird	8
193	Ze_BaronKrigler	8
193	SvenskaHugo	8
193	LeEricc	8
193	Dogcorn69420	8
193	Sheldor097	8
193	Skippeh	8
218	youhjjhhhjj	6
218	Covalents	6
220	Kim_Jong_eel	5
221	Mr_Byzantine	4
221	I_Am_Mushkin	4
221	diamondgolem35	4
221	Hpdinosaur	4
221	Incinere	4
221	Kuragari_	4
