rank	username	minecraft:dropped/minecraft:netherite_sword
1	eitanzaki	81
2	Freak_Genius	69
3	Spacewardharpy7	63
4	fffMike	58
5	T045RTY	57
6	beeperbeeper5	47
7	masskedman	41
8	MilleGrug	40
9	Historical_Sand	31
10	Segotep999	26
11	_Dean_123	25
11	Frozil12	25
11	SammiWolfGirl	25
14	kekhon	23
15	Rebytre	21
15	Ezekson	21
17	NomadicRobin_	20
18	Smoke____	19
19	Akoot_	17
20	EveryonesUncle	16
21	ShedJr_	15
21	TheSecondLord	15
21	Blaiku	15
24	noam464	14
24	the__Reaper4999	14
24	SkateboardR6	14
27	bigstankyy	13
27	Hyp3rion_	13
27	Eraxa	13
27	Spenduh	13
31	pintsizedrogue	12
31	XboxPanda	12
31	Chromary	12
34	Inchef	11
34	r123moore	11
34	KG1999	11
37	soundad	10
37	Nicky_H225	10
37	Nycteus_	10
37	oxfordschool	10
41	RebelAndroid	9
41	Smashic	9
41	Werbe	9
41	FishyBoy3811	9
45	joethahobo	8
45	fred870d	8
45	Lord_Jord	8
45	ItsDeltaMC	8
45	Enderslayerxz3	8
45	HesDemonPants	8
51	egglapras	7
51	thewindmillman	7
51	HolyVenom	7
51	Wowful	7
51	jnp_gaming	7
51	YoshikageBites	7
57	error10101	6
57	Mahoose	6
57	rarrq	6
57	fade_emerge78823	6
57	PigDab	6
57	lordpipe	6
57	Ze_BaronKrigler	6
57	djancak	6
57	2blox	6
66	Drlzyy	5
66	teslawolf38	5
66	ImpavidArcher	5
66	Myszoaz	5
66	Da_Boss_Rani	5
66	set67	5
66	ayqq	5
66	mimbo1211	5
66	Winklepicker279	5
66	Di_infiri	5
66	Syropatathe	5
66	lillips	5
66	Fuad_R	5
79	JohnnyFyes	4
79	AuroraValkyrie	4
79	paranoid_plant	4
79	mwrty	4
79	Awyrlas	4
79	CollinMH06	4
79	King_Pancake1	4
79	ToastedGamingYT	4
79	fw3xywashere	4
79	DarlaMeow	4
79	Shogunite	4
79	Racengan	4
79	KingMatthew506	4
79	Miko_Fullbuster	4
79	Quotary	4
79	MeetTheWollo	4
95	_Virify_	3
95	JEWISHBadenBeele	3
95	q_wq	3
95	BlancoFlaco	3
95	Hpdinosaur	3
95	Wooptey	3
95	NinjaKnifeKill	3
95	Blackberry1310	3
95	Kkanot	3
95	Xalithia	3
95	M_Patata	3
95	ApophisNova	3
95	AlexxO_o	3
95	YungMaki	3
95	Luigipunch989	3
95	UltraZombie	3
95	MyNamaSheff	3
95	PlasticOtari	3
95	kinas45y5	3
114	Merv__	2
114	lewieinnit	2
114	EMC_	2
114	I_Am_Mushkin	2
114	diamondgolem35	2
114	Dedalus36	2
114	hm947	2
114	Alteriity	2
114	MSK__	2
114	SoftSix	2
114	CyrusIsTired	2
114	Z3braYTIL	2
114	prizm_	2
114	Jackattack53	2
114	BronkerBrum	2
114	Skylord_Luke	2
114	HAIRYCLOUD626	2
114	Mattesco	2
114	Jonte0599	2
114	SvenskaAlvar	2
114	sammidk	2
114	KeruNatsema	2
114	Hail_the_wombat	2
114	yulgur1	2
114	Jiminie	2
114	NameGenerat0r	2
114	EfficientC52	2
114	monky_irl	2
114	TheTommyGun63	2
114	MasterNueve	2
114	TheEnderman548	2
114	Kowcio_	2
114	brofrickcheaters	2
114	PortlyPete69	2
114	obzii	2
114	Sheldor097	2
114	ZeroKraken	2
114	Eczbek	2
114	Jordan_R	2
114	00000000-0000-0000-0009-01ff0c3e5e4f	2
154	wylify	1
154	Jovaphobic	1
154	_NieToksikpl_	1
154	ActivelyLogicalt	1
154	Cowison	1
154	6king6colt6	1
154	Sleek_Storm_721	1
154	Wolf_Mauler_73	1
154	Nesquiczek	1
154	itburb	1
154	Spaghettatron	1
154	SpaceGrenadier	1
154	H72l9w	1
154	SquadMonster	1
154	titanlax	1
154	CliffEmAll	1
154	jushykins	1
154	jacxhadow	1
154	BobDeBouwer1337	1
154	bloodbiter	1
154	YungJakobo	1
154	12Magner05	1
154	500am	1
154	Flapjacker687	1
154	SBean737	1
154	benediktine1	1
154	pumpfonzo	1
154	Mobstr	1
154	Kakolbus	1
154	Justins_Juliet	1
154	Arceus1975	1
154	_Boipl_	1
154	MangoTheFish	1
154	pappaberg	1
154	TeezleFeezle	1
154	SpaggeDR	1
154	LeGold	1
154	Myhym	1
154	PuFY	1
154	Arcticwyn	1
154	__dlo__	1
154	groofles	1
154	KliBeast21	1
154	TheTrueClipse	1
154	MrQuanQuan	1
154	KnightmareD	1
154	NoChumpChange	1
154	DanTheBuilderino	1
154	Quaintster	1
154	Not_Insom	1
154	ThatMan_Dave	1
154	SingedBread	1
154	Th6masss	1
154	DeGodz4life	1
154	DolphinLaugh	1
154	Vorlice	1
154	Yahir091	1
154	technic_squirrel	1
154	Dusk_95	1
154	_Ruzeeq_	1
154	MakeHistory157	1
154	sp00ky_ghost977	1
154	BruhBag	1
154	LordBlaze11	1
154	Strangemonkey71	1
154	SvenskaHugo	1
154	pixelviolin	1
154	stahouo	1
154	_Yonk_	1
154	GlitchyPlate810	1
154	CalebDHawk	1
154	jcool7	1
154	LeeMcGee30	1
154	DiamondShaff	1
154	EcksD	1
154	AltnumberF4	1
154	EcksDofficial	1
154	diggydog67	1
