rank	username	minecraft:dropped/minecraft:glowstone_dust
1	thewindmillman	149163
2	Hyp3rion_	59767
3	EcksD	54090
4	noam464	53082
5	Fuad_R	13431
6	Da_Boss_Rani	3774
7	lillips	2146
8	Lez_	1204
9	PigDab	694
10	eitanzaki	651
11	Di_infiri	598
12	beeperbeeper5	511
13	Fullut	463
14	Blaiku	359
15	Smashic	341
16	luseis	261
17	Spacewardharpy7	248
18	TechnoNinja64	241
19	AdmiralSmoke	216
20	_Mythic____	215
21	FishisTTV	212
22	DkansK	162
23	T045RTY	161
24	lordpipe	145
25	Werbe	140
26	Tyrannosplart	138
27	SvenskaHugo	130
28	Akoot_	124
29	Lord_Jord	102
30	Snowflowe	100
31	HellsSponge	98
32	WET_WET_WET	95
33	Huic_ostiarius	94
34	kekhon	92
35	GravitySaint	81
36	xzvu	69
37	Auseawesome	66
37	hanaryheatwave	66
39	stevewithclout	64
39	LeauVox4921	64
39	Soul_Atreus	64
42	Sral7	60
43	m_be9	58
44	TildaAndrea	55
45	XeroByMyth	53
46	Onennon	51
47	Faart	50
48	Jackattack53	46
49	UrbanPlanningEx	43
50	Guillemet	40
51	Scathra	39
52	Deerfoot	37
53	RebelAndroid	36
54	vandmanden	35
55	FreakGenius	33
55	Nicserso	33
57	youhjjhhhjj	32
57	Winklepicker279	32
57	Skylord_Luke	32
57	Mattesco	32
61	yatsuta	31
62	SammiWolfGirl	30
62	WYFYoyo	30
64	ConnorDanky_	27
64	jnp_gaming	27
66	Groovy_MoonBird	26
66	seramalen	26
66	Racengan	26
66	Kowcio_	26
66	YungMaki	26
71	Eraxa	25
72	Frozil20	22
72	Xclax101	22
74	hm947	21
74	Manaateee	21
76	XboxPanda	20
76	Zoeyfortnite	20
76	h2p_emrld	20
76	diggydog67	20
80	weabis	19
81	shineh10	18
81	yaboo88	18
81	Rebytre	18
81	_Karmaa	18
81	Segotep999	18
86	Kyrum2169	17
87	Wooptey	16
87	Chromary	16
87	KermitTheKripple	16
90	Bandito_Roamer	15
90	Secret_Canary	15
92	LilyNova	14
92	EveryonesUncle	14
92	Soplight	14
92	Enderxz3	14
96	yheece	13
96	GooseWithin	13
96	DarlaMeow	13
96	NameGenerat0r	13
96	Skippeh	13
101	12Magner05	12
101	mwrty	12
101	benediktine1	12
101	LilLizardWizard	12
101	Leyna3	12
101	Maenara	12
101	xDraggin	12
101	djancak	12
101	Luigipunch989	12
110	PazinGaming	11
110	NieToksikpl	11
110	Jonafrog99	11
110	Warlord324	11
110	AltnumberF4	11
115	fanofbands101	10
115	q_wq	10
115	TheSecondLord	10
115	_Nuf	10
115	Paintz	10
115	Solar_Power	10
115	k1ngGilgamesh	10
115	lizardfightclub	10
123	LoboTheLobster	9
123	ProfessorBee	9
123	500am	9
123	excelsionprime	9
123	Inchef	9
123	KingEgg1	9
123	Kakolbus	9
123	Rasmanden	9
123	ebanana	9
132	Ryan_GEMS	8
132	Huwulling	8
132	Aiko_Kawashima	8
132	Corbsman	8
132	TheWildMateo	8
132	AstreaTSS	8
132	wwwwinnebagoooo	8
132	SkateboardR6	8
132	mihimihimihi	8
132	pixelviolin	8
132	LeEricc	8
143	Incinere	7
143	Franco093	7
143	H72l9w	7
143	oreee	7
143	whoaluv	7
143	ougstur	7
143	yulgur1	7
143	NomadicRobin_	7
143	_Bguette_	7
143	1442	7
143	Blu3beast	7
143	lcvezra	7
143	_i_ERROR_i_	7
143	SpacesickPrism	7
157	EMC_	6
157	itburb	6
157	rarrq	6
157	Valoth	6
157	BreadFruggis	6
157	ROY4LE	6
157	2Stout	6
157	M_Patata	6
157	SuperPooch06	6
157	LeGold	6
157	Elastiq	6
157	Yahir091	6
157	MasterNueve	6
157	xolstoi	6
157	trexgb	6
172	pintsizedrogue	5
172	Hpdinosaur	5
172	Historical_Sand	5
172	CaracolCxnt	5
172	Crowman1	5
172	IronyMan69	5
172	ApophisNova	5
172	groofles	5
172	Wowful	5
172	Groundler	5
172	Razzgriz	5
172	33sudo	5
172	MyNamaSheff	5
185	k_ce	4
185	_Virify_	4
185	PhantomsGhost_	4
185	dimondking777	4
185	Sleek_Storm_721	4
185	bigstankyy	4
185	Alteriity	4
185	301851	4
185	Blackberry1310	4
185	Cryptacity	4
185	Masssonnn	4
185	emrekn	4
185	burbankbuilder28	4
185	0Vyp_	4
185	Parcc	4
185	The_Quack_Dealer	4
185	SUN_DREAM	4
185	UCP_TheKingK	4
185	fffMike	4
185	MilleGrug	4
185	alderban107	4
185	RadarHz	4
185	PlasticOtari	4
185	calamariclam_I	4
209	heysushii	3
209	Apollo_993	3
209	dudcreeper	3
209	lorywithay	3
209	Mahoose	3
209	joethahobo	3
209	CliffEmAll	3
209	lunathelemon	3
209	Tiberonus	3
209	TheThomas69	3
209	thescout7	3
209	MyNameIsJobo	3
209	Doom_melon	3
209	Arceus1975	3
209	RobotMinion101	3
209	F_Uhre	3
209	AlexxO_o	3
209	Jonte0599	3
209	PaperCanvas	3
209	AuroraSkies	3
209	LeonelSalamanca	3
209	wobn	3
209	Soap_Bender	3
209	camerade	3
209	iSammael	3
209	ItsDeltaMC	3
209	TheEnderMan548	3
209	somegirl12_	3
209	__tomato	3
209	_Yonk_	3
209	Dreamdbr14	3
209	bitsplease	3
209	Ezekson	3
242	Jovaphobic	2
242	Froste131	2
242	SoosAmongus	2
242	diamondgolem35	2
242	Zippyzam	2
242	Batman922	2
242	Ssor69	2
242	Prodiginus	2
242	Malorn_Aetherius	2
242	_Nat666	2
242	Comma__	2
242	bloodbiter	2
242	crying_wolf_13	2
242	sandmire	2
242	eviltunix	2
242	gcaisawesome	2
242	r123moore	2
242	noyan121	2
242	fallingemma	2
242	shadowthemonkey	2
242	Marbz_	2
242	Bumpy419	2
242	oscminus	2
242	jewbacaman	2
242	TheShyPig	2
242	ADEXTV	2
242	TheSeismicDuck	2
242	claivin	2
242	SwooshBoi	2
242	El_Jalapeno	2
242	Cavetorch	2
242	MightyWertu	2
242	_Meow_Mix	2
242	Airem_Core	2
242	geekbird	2
242	WyngGoy	2
242	Chuglyfe	2
242	Heisenbberrg	2
242	TheOuterCore	2
242	MirielThePastor	2
242	Powowowow	2
242	Serval2000	2
284	ProbablyNick	1
284	jspwn	1
284	ECstardust	1
284	milkedit	1
284	I_Am_Mushkin	1
284	Iagoku	1
284	gren_ben	1
284	KomputerDude	1
284	IWorkAtIkea	1
284	heckface	1
284	Vizzoid	1
284	bmac2718	1
284	catandmoose	1
284	MattieHD	1
284	_Dean_123	1
284	Motsaro	1
284	xxPipperDipperxx	1
