rank	username	minecraft:dropped/minecraft:bamboo_slab
1	lpinfinity	1151
2	_Duckery	224
3	Merv__	79
4	k_ce	50
5	Yamdalorian	36
6	robonya_	30
7	Synthoum	29
8	Dark_Crusader21	22
9	PazinGaming	7
9	Kowcio_	7
11	Spaghettatron	6
12	Fullbit_	4
12	Hoid_the_Roamer	4
14	EveryonesUncle	3
15	pintsizedrogue	2
15	beeperbeeper5	2
15	bl1ss0	2
15	Buuck_	2
19	Lez_	1
19	akap47	1
19	lordpipe	1
