rank	username	minecraft:dropped/minecraft:bricks
1	thewindmillman	21956
2	Hyp3rion_	8932
3	hanaryheatwave	2503
4	noam464	1849
5	Huwulling	1571
6	NomadicRobin_	1522
7	Frozil20	1003
8	Blaiku	786
9	Di_infiri	731
10	Kowcio_	655
11	AdmiralSmoke	595
12	IamCL4SSY	576
13	lorpus	528
14	Lez_	373
15	beeperbeeper5	365
16	joethahobo	349
17	Mr_Byzantine	330
18	gcaisawesome	320
19	Steelynan	280
20	The_slideV3	256
21	Nicserso	227
22	vandmanden	224
23	500am	193
24	PixelatedBoss	192
25	TheSecondLord	190
26	set67	181
27	KingMatthew506	176
28	kekhon	169
29	CalebDHawk	164
30	_i_ERROR_i_	162
31	Jakobo1337	159
32	FreakGenius	150
32	EcksD	150
34	HolyVenom	147
35	Deathkob	138
36	eitanzaki	132
36	YungMaki	132
38	rarrq	129
39	Diavri	127
39	lillips	127
41	Mahoose	105
42	SteveCraftBlocks	103
43	EveryonesUncle	98
44	Enderxz3	77
45	xzvu	75
46	RebelAndroid	66
47	Legendosh	65
48	Snowflowe	64
48	Werbe	64
48	ogoa	64
48	ReyTheLegend	64
48	Spenduh	64
48	Faart	64
54	Nadhorion	62
55	UCP_TheKingK	59
56	2Stout	56
57	luseis	54
58	TechnoNinja64	53
59	Merv__	52
60	lordpipe	49
61	pintsizedrogue	47
62	NieToksikpl	45
63	Manaateee	41
64	John6970	40
65	PigDab	38
66	ImpavidArcher	37
67	CoffeeNoir	35
68	Corbsman	34
69	dartwaffle	32
70	Alteriity	31
71	xolstoi	26
72	Seindi	21
73	Kakolbus	18
74	Xclax101	17
75	r123moore	16
75	fw3xy74	16
77	Russiancat1	15
78	JohnPrice	14
79	Bandito_Roamer	11
79	burbankbuilder28	11
81	Blackberry1310	9
82	Onennon	8
82	DarlaMeow	8
82	NameGenerat0r	8
85	JohnnyFyes	6
85	DarkS0L	6
85	VentiHilton	6
88	Auseawesome	5
89	k_ce	4
89	SaucyDark	4
89	tuckerdoodle	4
89	Akoot_	4
89	BumbleBeever	4
89	lcvezra	4
89	ProbsNotNova	4
96	PazinGaming	3
96	weabis	3
96	Kubeusz2010	3
96	Ezekson	3
96	ConnorDanky_	3
101	dudcreeper	2
101	SoosAmongus	2
101	itburb	2
101	SquadMonster	2
101	Pineapplesugr	2
101	Mattesco	2
107	SugarMyNuggets	1
107	abramgray	1
107	KarlKaek	1
107	Saucepeh	1
107	MinttyFressh	1
107	Awyrlas	1
107	fade_emerge78823	1
107	yaboo88	1
107	Ryanix	1
107	Zythose	1
107	Skylord_Luke	1
107	Afinnity	1
107	AlexxO_o	1
107	TheShyPig	1
107	Tyrannosplart	1
107	shrimp_flips	1
107	Shogunite	1
107	censorsheep	1
107	Groundler	1
107	__tomato	1
107	anbbang	1
107	Lord_Lollo	1
107	Quotary	1
107	PlasticOtari	1
107	Kateesaur	1
