rank	username	minecraft:dropped/minecraft:blaze_powder
1	noam464	5271
2	thewindmillman	3411
3	PigDab	1956
4	AdmiralSmoke	787
5	Hyp3rion_	321
6	EMC_	256
7	eitanzaki	204
8	Segotep999	193
9	Di_infiri	138
10	emrekn	128
11	Blaiku	90
11	YungMaki	90
13	Lez_	84
14	mwrty	61
14	_Bguette_	61
16	NomadicRobin_	50
17	Iamthejo	45
18	Onennon	43
19	EcksD	42
20	TheSecondLord	40
20	lordpipe	40
22	Auseawesome	37
23	lorpus	34
24	Secret_Canary	29
25	stavgod	18
26	ECstardust	14
27	_Magdo_	13
28	mimbo1211	11
28	Tyrannosplart	11
30	Marbz_	9
30	hanaryheatwave	9
32	powercas_gamer	8
32	NATE_the_HALO	8
32	Njensen7	8
35	kekhon	7
35	IamCL4SSY	7
37	Blackberry1310	5
37	Rebytre	5
37	AlphaWolfPlaysMC	5
37	Eraxa	5
37	Kyrum2169	5
37	TechnoNinja64	5
43	pintsizedrogue	4
43	Incinere	4
43	Franco093	4
43	beeperbeeper5	4
43	stuy9	4
43	GoofyBread	4
43	xzvu	4
43	krutas2000	4
43	laron58	4
52	k_ce	3
52	joethahobo	3
52	zToasty69z	3
52	luseis	3
52	jcool7	3
57	Groovy_MoonBird	2
57	_Virify_	2
57	PazinGaming	2
57	SmashingPump	2
57	youhjjhhhjj	2
57	KomputerDude	2
57	LoboTheLobster	2
57	SnowyAvi	2
57	Austine6698	2
57	Bumpy419	2
57	Skylord_Luke	2
57	Werbe	2
57	fw3xy74	2
57	Jiminbub	2
57	fkGrim	2
57	1442	2
57	HellsSponge	2
57	SingedBread	2
57	ediballbearings	2
57	alderban107	2
57	2blox_	2
78	I_Am_Mushkin	1
78	diamondgolem35	1
78	gren_ben	1
78	Ryan_GEMS	1
78	Mahoose	1
78	Historical_Sand	1
78	elmer1234	1
78	Comma__	1
78	_Nuf	1
78	fallingemma	1
78	shadowthemonkey	1
78	Jackattack53	1
78	Skomo	1
78	lizardfightclub	1
78	Lord_Jord	1
78	SpouHn	1
78	DemTechAlpha	1
78	501g	1
78	Xclax101	1
78	Buuck_	1
78	ReyTheLegend	1
78	AltnumberF4	1
78	Powowowow	1
78	PlasticOtari	1
78	skrongus	1
