rank	username	minecraft:dropped/minecraft:purple_bed
1	TheBananaKat	586
2	ItsColin11	161
3	HellsSponge	13
4	pixelviolin	12
5	EngagedGrub41	10
6	Groundler	7
7	Kowcio_	4
8	Wooptey	3
8	Xalithia	3
8	burbankbuilder28	3
8	IdeallyGrey	3
12	gcaisawesome	2
12	thewindmillman	2
12	Elastiq	2
12	ConnorDanky_	2
16	Mr_Byzantine	1
16	Apollo_993	1
16	EdaterPure	1
16	eitanzaki	1
16	MinttyFressh	1
16	Juansinmiedo18	1
16	okCrypto	1
16	U_Mos_	1
16	Skylord_Luke	1
16	TheShyPig	1
16	Dakar_	1
16	Blu3beast	1
16	Blaiku	1
