rank	username	minecraft:dropped/minecraft:smooth_red_sandstone
1	pintsizedrogue	64
1	Frozil20	64
3	lordpipe	60
4	Wowful	51
5	KarlKaek	32
6	Lez_	31
7	Groovy_MoonBird	9
8	FreakGenius	3
9	fragrantmonke444	2
9	HellsSponge	2
11	Mattesco	1
11	Manaateee	1
11	El_Jalapeno	1
