rank	username	minecraft:dropped/minecraft:netherite_helmet
1	Hyp3rion_	44
2	beeperbeeper5	38
3	Kowcio_	27
4	Segotep999	16
5	Huwulling	15
6	eitanzaki	14
7	TheKingK_	13
8	Nicky_H225	12
8	Spaghettatron	12
10	rarrq	10
10	kekhon	10
10	FreakGenius	10
10	doublemaki	10
14	Jackattack53	9
15	hanaryheatwave	8
16	craaaash	7
16	Rebytre	7
16	Wowful	7
19	TheSecondLord	6
19	knarian	6
19	Krowuss	6
19	F_Uhre	6
23	_Huge_Male_	5
23	Frozil20	5
23	Lez_	5
23	Historical_Sand	5
23	CollinMH06	5
23	monky_irl	5
23	CattSoup	5
30	PazinGaming	4
30	joethahobo	4
30	Fullut	4
30	set67	4
30	Mattesco	4
30	Akoot_	4
30	luseis	4
30	Blaiku	4
30	Enderxz3	4
39	Mr_Byzantine	3
39	Caribouse	3
39	NieToksikpl	3
39	Crowman1	3
39	bl1ss0	3
39	Chromary	3
39	NomadicRobin_	3
39	emreknugrlu	3
39	cutelilreno	3
39	lordpipe	3
39	IlkeCookes_	3
39	djancak	3
39	Eczbek	3
39	Ezekson	3
39	Jimb0nat0r	3
39	Yamdalorian	3
55	JohnnyFyes	2
55	MyMawgDonaldsGon	2
55	ImpavidArcher	2
55	Lazy_geniusig	2
55	Blackberry1310	2
55	MattieHD	2
55	noam464	2
55	prizm_	2
55	U_Mos_	2
55	oscminus	2
55	PigDab	2
55	zToasty69z	2
55	Fuad_R	2
55	NameGenerat0r	2
55	weabis	2
55	Spacewardharpy7	2
55	ItsDeltaMC	2
55	TheEnderMan548	2
55	Pumpkin_P_Patch	2
55	pablopickle	2
55	_Yonk_	2
55	robonya_	2
77	pintsizedrogue	1
77	k_ce	1
77	Deu_Stew	1
77	BadenOnGod	1
77	BPTY4618	1
77	teslawolf38	1
77	Niklas20114552	1
77	gren_ben	1
77	Ryan_GEMS	1
77	Killercatty78	1
77	Wooptey	1
77	T045RTY	1
77	lorywithay	1
77	Alteriity	1
77	NinjaKnifeKill	1
77	Mahoose	1
77	Myszoaz	1
77	MrKrabOnCoke	1
77	Upstro10	1
77	Auseawesome	1
77	hydrothebot	1
77	bloodbiter	1
77	12Magner05	1
77	MinttyFressh	1
77	cyrusisntgay	1
77	_witch_craft_	1
77	excelsionprime	1
77	Juansinmiedo18	1
77	r123moore	1
77	imcombxt	1
77	M_Patata	1
77	shadowthemonkey	1
77	thewindmillman	1
77	ApophisNova	1
77	Mr_Sun15	1
77	goldyx	1
77	FishyBoy3811	1
77	PuFY	1
77	groofles	1
77	TJawesome09	1
77	GooseWithin	1
77	fw3xy	1
77	EdGalbraith	1
77	masskedman	1
77	LexMakesHistory	1
77	Manaateee	1
77	Dakar_	1
77	DarlaMeow	1
77	vadar12	1
77	Racengan	1
77	THEKINGLyric10	1
77	SkateboardR6	1
77	iSammael	1
77	MakeHistory157	1
77	Eraxa	1
77	_Mythic____	1
77	Soplight	1
77	Spenduh	1
77	_i_ERROR_i_	1
77	BungalowBeet	1
77	le4ves	1
77	fffMike	1
77	jcool7	1
77	Bairhug	1
77	88Hazza88	1
77	Kubeusz2010	1
77	Aryamanee	1
77	MyNamaSheff	1
77	Weepingbiel	1
77	jnp_gaming	1
77	calamariclam_I	1
77	00000000-0000-0000-0009-01f53dff86f7	1
77	00000000-0000-0000-0009-01f1577a2913	1
