rank	username	minecraft:dropped/minecraft:iron_chestplate
1	Hyp3rion_	262
2	thewindmillman	35
3	beeperbeeper5	28
4	xzvu	25
5	TheSecondLord	23
6	eitanzaki	22
6	noam464	22
6	THEKINGLyric10	22
9	rarrq	21
9	OreTheBear	21
9	luseis	21
12	FreakGenius	18
13	MyMawgDonaldsGon	15
14	mwrty	14
14	Kowcio_	14
14	cichy096	14
17	knarian	13
17	Di_infiri	13
17	lordpipe	13
20	emrekn	12
20	ElectricDragon81	12
20	Yamdalorian	12
23	Frozil20	11
23	Akoot_	11
25	Lez_	10
25	gamerlord1324	10
25	Blaiku	10
25	Hisiste	10
29	philandr	9
29	TheSeismicDuck	9
29	Soplight	9
32	JohnnyFyes	8
32	set67	8
32	ConnorDanky_	8
32	jnp_gaming	8
32	Spaghettatron	8
37	I_Am_Mushkin	7
37	Xalithia	7
37	_flud	7
37	VittoValenttino	7
37	PortlyPete69	7
42	Apexaman	6
42	Lord_Jord	6
42	Racengan	6
42	Kubeusz2010	6
42	Jimb0nat0r	6
47	H0UNDFRMH3LL	5
47	Mr_Byzantine	5
47	ImpavidArcher	5
47	ZaneABrain	5
47	Mahoose	5
47	MattieHD	5
47	thescout7	5
47	Kubelz	5
47	Jackattack53	5
47	GreedyFern8581	5
47	Rebytre	5
47	Hiryu27	5
47	Mattesco	5
47	Wowful	5
47	wobn	5
47	emreknugrlu	5
47	Tyrannosplart	5
47	Groundler	5
47	MovingFish7	5
47	ElKaySVK	5
47	stavgod	5
47	ProbsNotNova	5
47	laron58	5
47	561cool	5
71	k_ce	4
71	Frigzy_	4
71	Vlorox	4
71	Houstonion	4
71	diamondgolem35	4
71	SaucyDark	4
71	TooManyDuck	4
71	Hpdinosaur	4
71	Flores991	4
71	lotarp	4
71	Huwulling	4
71	Reamdin	4
71	joethahobo	4
71	Blackberry1310	4
71	kekhon	4
71	lorpus	4
71	Chromary	4
71	popcanter	4
71	Arceus1975	4
71	oscminus	4
71	The11thDoctor	4
71	PigDab	4
71	NomadicRobin_	4
71	AspenLightVT	4
71	censorsheep	4
71	Buuck_	4
71	_MeowMix	4
71	monky_irl	4
71	Cocoamallows	4
71	Razzgriz	4
71	AssFullaCum	4
71	__tomato	4
71	Skippeh	4
71	PlasticOtari	4
105	SpartanNamor	3
105	heysushii	3
105	CLG_Kata	3
105	Merv__	3
105	ECstardust	3
105	EMC_	3
105	Iagoku	3
105	Horizons86	3
105	Incinere	3
105	Wooptey	3
105	Batman922	3
105	iElijahi	3
105	Historical_Sand	3
105	Swalt	3
105	Cryptacity	3
105	Tiberonus	3
105	_Nuf	3
105	corvidpartyfor6	3
105	excelsionprime	3
105	Inchef	3
105	gcaisawesome	3
105	mariominejedi	3
105	Zythose	3
105	Bumpy419	3
105	ooga47	3
105	Kouridragon	3
105	Matyyy15	3
105	AlexxO_o	3
105	HoldThatPee	3
105	Bl1tzFX	3
105	Cordicus	3
105	EveryonesUncle	3
105	Karbl	3
105	Soap_Bender	3
105	NameGenerat0r	3
105	StinkyDiplomat	3
105	Deerfoot	3
105	OreoPenguin_	3
105	MS_Pryxx	3
105	layabout100	3
105	Kura2218	3
105	Decaying_Lotus	3
105	p4pillio	3
105	CLUBN2	3
105	Segotep999	3
105	djancak	3
105	brofrickcheaters	3
105	_i_ERROR_i_	3
105	NATE_the_HALO	3
105	UltraZombie	3
105	Ezekson	3
105	es0th	3
105	00000000-0000-0000-0009-01fe065167f0	3
158	pintsizedrogue	2
158	Froste131	2
158	PhantomsGhost_	2
158	Jalvajar	2
158	fanofbands101	2
158	BPTY4618	2
158	Ze1ig	2
158	PazinGaming	2
158	shineh10	2
158	ColeSnyder	2
158	77Holly7	2
158	Tolhart	2
158	Hypothesisow	2
158	KomputerDude	2
158	Rani_R	2
158	FirsTimeGamingTV	2
158	CaracolCxnt	2
158	_vlex	2
158	picardred	2
158	dopplexd	2
158	Auseawesome	2
158	_Nat666	2
158	jushykins	2
158	m_be9	2
158	12Magner05	2
158	ABUSNA1996	2
158	Cranium856	2
158	rpmm	2
158	_Dean_123	2
158	Fullut	2
158	i2f8x4h8ro	2
158	redikul	2
158	Fullbit_	2
158	himak1	2
158	KGTV	2
158	SellyZ	2
158	2Stout	2
158	Paintz	2
158	XboxPanda	2
158	Kakolbus	2
158	craaaash	2
158	reiwai	2
158	okCrypto	2
158	Rumpletaezer	2
158	yaboo88	2
158	wTXop	2
158	Lo_zio_Diego	2
158	OneLessChromosom	2
158	LugusMcGrugus	2
158	shockdocta	2
158	Skylord_Luke	2
158	TheWildMateo	2
158	Werbe	2
158	F_Uhre	2
158	MinerDec	2
158	_Cloverbelle_	2
158	J4k__	2
158	Tou3bann	2
158	HeraclesOGU	2
158	XeroByMyth	2
158	Hail_the_wombat	2
158	Luminad3	2
158	TJawesome09	2
158	tyraxxx	2
158	Maenara	2
158	Penguinllama517	2
158	parodypatient	2
158	wezzzi	2
158	fw3xy	2
158	ChampBoii	2
158	gustarlep	2
158	masskedman	2
158	SpouHn	2
158	DTwenty	2
158	spencersolberg	2
158	Jimbboo	2
158	Fuhrer_Teemo	2
158	Tiktola01	2
158	B3nzito	2
158	DemTechAlpha	2
158	Dakar_	2
158	HellsSponge	2
158	_Karmaa	2
158	Shogunite	2
158	DanTheBuilderino	2
158	Blu3beast	2
158	cutelilreno	2
158	MightyWertu	2
158	1_jR	2
158	Vegvisir	2
158	Toriankel	2
158	Spacewardharpy7	2
158	Leithz6	2
158	geekbird	2
158	okzetton	2
158	Optiprimus	2
158	Soul_Atreus	2
158	Eraxa	2
158	hdtpm	2
158	SvenskaHugo	2
158	ReyTheLegend	2
158	pixelviolin	2
158	TheKingK_	2
158	DontHaveKick	2
158	Spenduh	2
158	miramyu	2
158	Chuglyfe	2
158	stellarjay	2
158	Luigipunch989	2
158	non089	2
158	Moetis	2
158	Dogcorn69420	2
158	Vellu21	2
158	TheOnlyRake	2
158	BreadBacon	2
158	Nicserso	2
158	2blox_	2
158	the_cocos	2
158	Wanjibon	2
158	h2p_emrld	2
278	Mr_Worthless	1
278	jojo1515151	1
278	aangwie	1
278	maxdacatz	1
278	JuckFuan	1
278	Jovaphobic	1
278	xExpresso	1
278	j5ylim	1
278	marguang	1
278	seanitoo	1
278	Bandito_Roamer	1
278	NatalieTW	1
278	randomcanarian	1
278	_Virify_	1
278	elicobnoah	1
278	Harotio	1
278	vvhing	1
278	abramgray	1
278	Mowelan	1
278	xyct	1
278	_stets	1
278	squigglybones	1
278	FroggoTheDoggo	1
