rank	username	minecraft:dropped/minecraft:ender_eye
1	thewindmillman	1947
2	Hyp3rion_	399
3	TheSecondLord	192
4	PigDab	128
4	Cocoamallows	128
6	Segotep999	98
7	eitanzaki	88
8	EcksD	52
9	egglapras	45
10	6king6colt6	40
11	Awyrlas	36
12	stavgod	14
13	Mahoose	13
14	Drlzyy	12
14	Kkanot	12
14	Inchef	12
14	kinas45y5	12
18	MeetTheWollo	11
19	fr0stss	10
19	Di_infiri	10
21	gabriels543	9
22	gcaisawesome	8
23	jiggywraps	6
23	lillips	6
25	lotarp	5
25	Blackberry1310	5
25	Groundler	5
28	Eraxa	4
29	noam464	3
29	Jackattack53	3
29	pappaberg	3
29	chipklip	3
29	Freak_Genius	3
29	ProbsNotNova	3
35	Merv__	2
35	EMC_	2
35	I_Am_Mushkin	2
35	diamondgolem35	2
35	joethahobo	2
35	ProfessorBee	2
35	Fullut	2
35	Tjhodskins19	2
35	__TheNorseMan__	2
35	TheShyPig	2
35	RodSerlingCringe	2
35	HellsSponge	2
35	claivin	2
35	Nycteus_	2
35	Spacewardharpy7	2
35	Kukkelikuk	2
35	YungMaki	2
35	stahouo	2
35	oxfordschool	2
35	TechnoNinja64	2
55	PhantomsGhost_	1
55	beeperbeeper5	1
55	YungJakobo	1
55	MattieHD	1
55	Onennon	1
55	Kynigito	1
55	MinerDec	1
55	Akoot_	1
55	Gryglu583	1
55	_Karmaa	1
55	censorsheep	1
55	Frozil12	1
55	lordpipe	1
55	ediballbearings	1
55	jcool7	1
55	Steelynan	1
55	TheOuterCore	1
55	anbbang	1
55	Ezekson	1
55	Zoeyfortnite	1
55	Kateesaur	1
