rank	username	minecraft:dropped/minecraft:glass_bottle
1	noam464	296715
2	thewindmillman	151453
3	EcksD	51002
4	Fuad_R	13888
5	HellsSponge	2620
6	beeperbeeper5	1185
7	Hyp3rion_	1029
8	SammiWolfGirl	944
9	lillips	817
10	Smoke____	810
11	eitanzaki	725
12	anbbang	721
13	Fullut	719
14	kekhon	716
15	TechnoNinja64	697
16	Spacewardharpy7	546
17	FreakGenius	451
18	joethahobo	431
19	RealGroot	415
20	Werbe	396
21	Blaiku	395
22	Da_Boss_Rani	378
23	Jackattack53	374
24	PigDab	316
25	NomadicRobin_	286
25	Sral7	286
27	500am	266
28	Eczbek	263
29	MangoTheFish	262
30	Lez_	256
31	Inbefour	237
32	MightyWertu	236
33	ImpavidArcher	227
33	lordpipe	227
35	FishyBoy3811	225
36	Soplight	221
37	rarrq	218
38	AltnumberF4	204
39	Groovy_MoonBird	202
40	Blu3beast	177
41	bladeefan2009	168
42	SvenskaHugo	166
43	T045RTY	156
43	Mahoose	156
45	stavgod	150
45	Enderxz3	150
47	Akoot_	149
47	jnp_gaming	149
49	I_Am_Mushkin	147
50	Inchef	143
51	Frozil20	141
52	Arceus1975	132
53	Hermanni__	129
54	r123moore	126
55	Eraxa	124
56	YungMaki	122
57	Lord_Jord	116
58	TheSecondLord	109
59	Blackberry1310	108
60	Nicserso	98
61	binman420	93
62	LeeMcGee30	92
63	masskedman	91
64	Tyrannosplart	90
65	Quaintster	82
66	F_Uhre	81
67	Chromary	78
68	xzvu	76
69	gabriels543	75
70	_Dean_123	74
70	gusstationwerker	74
72	EveryonesUncle	73
73	NameGenerat0r	70
74	FirsTimeGamingTV	68
74	mimbo1211	68
74	vandmanden	68
77	Comma__	65
78	Di_infiri	62
78	Kowcio_	62
80	Historical_Sand	60
80	LeauVox4921	60
82	_Bguette_	59
82	Mythic1130	59
84	Jovaphobic	58
84	sammidk	58
84	ZA07	58
87	mwrty	56
88	RebelAndroid	52
88	alderban107	52
90	IamCL4SSY	50
91	Smussa	49
91	Steelynan	49
93	SteveCraftBlocks	47
94	6king6colt6	46
95	__tomato	45
96	PortlyPete69	44
97	EMC_	43
97	diamondgolem35	43
97	fade_emerge78823	43
100	PhantomsGhost_	42
100	emrekn	42
100	Skippeh	42
103	Ezekson	41
104	Smashic	40
104	CalebDHawk	40
106	jushykins	39
106	xolstoi	39
108	pintsizedrogue	38
108	thescout7	38
108	KingEgg1	38
108	Racengan	38
112	_Virify_	37
112	fluddd	37
114	Zythose	36
114	StinkyDiplomat	36
116	12Magner05	34
117	Rebytre	32
117	claivin	32
119	Luminad3	30
120	lorpus	29
120	LAVA129	29
120	SaintJosie	29
123	ShedJr_	28
123	Wowful	28
123	DarlaMeow	28
123	MovingFish7	28
123	ConnorDanky_	28
128	Merv__	27
129	SyntheticSurgeon	26
129	ProfessorBee	26
131	hm947	25
131	ThiccExotic	25
131	Awyrlas	25
131	ROY4LE	25
131	xxPipperDipperxx	25
131	Kura2218	25
137	SmashingPump	24
138	paranoid_plant	23
138	SkateboardR6	23
140	SyK7	22
140	Vorlice	22
