rank	username	minecraft:dropped/minecraft:oak_fence_gate
1	thewindmillman	16162
2	rarrq	353
3	The_slideV3	183
4	ooga47	174
5	eitanzaki	86
6	seramalen	52
7	noam464	43
8	FreakGenius	22
9	Smashic	20
10	Smoke____	17
11	jewbacaman	15
12	HellsSponge	12
12	MovingFish7	12
14	SmashingPump	10
14	Soplight	10
16	Hyp3rion_	9
17	MightyWertu	7
17	Blaiku	7
19	Wooptey	6
19	Werbe	6
19	groofles	6
19	TechnoNinja64	6
23	Masssonnn	5
23	Skylord_Luke	5
23	Racengan	5
26	lotarp	4
26	beeperbeeper5	4
26	set67	4
26	Gingayy	4
26	majlin16	4
26	Xclax101	4
26	KingMatthew506	4
33	I_Am_Mushkin	3
33	TheSecondLord	3
33	Pineapplesugr	3
33	StormPool	3
33	CaptainAvenger7	3
33	IamCL4SSY	3
33	MyNameIsDakar	3
33	Kura2218	3
41	Lez_	2
41	Blackberry1310	2
41	thescout7	2
41	Di_infiri	2
41	andy_rex	2
41	Luminad3	2
41	Maenara	2
41	Yahir091	2
41	LeEricc	2
41	Luigipunch989	2
51	_Virify_	1
51	PhantomsGhost_	1
51	EMC_	1
51	Killercatty78	1
51	RebelAndroid	1
51	T045RTY	1
51	m_be9	1
51	ProfessorBee	1
51	500am	1
51	UncreativeArtist	1
51	ROY4LE	1
51	Bumpy419	1
51	Hiryu27	1
51	epiksk8erduck	1
51	BRRRN179	1
51	Leyna3	1
51	NoChumpChange	1
51	EveryonesUncle	1
51	Matorz	1
51	Warlord324	1
51	Vorlice	1
51	RealGroot	1
51	SammiWolfGirl	1
51	CoryJJ	1
51	LeeMcGee30	1
51	TheOnlyRake	1
51	ConnorDanky_	1
51	EcksD	1
51	jnp_gaming	1
51	xolstoi	1
