rank	username	minecraft:dropped/minecraft:birch_button
1	500am	961
2	Hyp3rion_	718
3	EcksD	496
4	PigDab	57
5	Zoeyfortnite	52
6	YungMaki	30
7	TheDankPlatypus	28
8	lordpipe	23
9	Badenbeele	16
9	thewindmillman	16
11	eitanzaki	15
12	AlexxO_o	13
13	PirreJR	12
14	_Huge_Male_	10
15	Mahoose	8
15	The_Skramz	8
15	PortlyPete69	8
18	AdmiralSmoke	7
19	EveryonesUncle	5
19	Kateesaur	5
21	xxPipperDipperxx	4
21	_Ruzeeq_	4
21	IAmTheWalrus910	4
21	camando92	4
25	beeperbeeper5	3
25	Mewar	3
25	Jackattack53	3
25	iSammael	3
25	bloomkieren	3
30	_Nuf	2
30	_Dean_123	2
30	mwrty	2
30	RIPB0ZO	2
30	noam464	2
30	SullyhS	2
30	Rasmanden	2
30	jake314810	2
30	Eraxa	2
30	UCP_TheKingK	2
30	Njensen7	2
30	Nicserso	2
42	pintsizedrogue	1
42	_Virify_	1
42	hm947	1
42	Lez_	1
42	oreee	1
42	ItsHydroMC	1
42	kekhon	1
42	ProfessorBee	1
42	lorpus	1
42	Awyrlas	1
42	NotMeanttoChange	1
42	ROY4LE	1
42	jedi_george	1
42	Chromary	1
42	oscminus	1
42	F_Uhre	1
42	YahooScreen9000	1
42	IamCL4SSY	1
42	ChrisKyleST3	1
42	parodypatient	1
42	420BreadLizard	1
42	The_Quack_Dealer	1
42	Fuad_R	1
42	NameGenerat0r	1
42	claivin	1
42	Deerfoot	1
42	FreakGenius	1
42	El_Jalapeno	1
42	Blu3beast	1
42	__Auspicious	1
42	DolphinLaugh	1
42	Spacewardharpy7	1
42	monky_irl	1
42	stavgod	1
42	Kowcio_	1
42	djancak	1
42	Soplight	1
42	lcvezra	1
42	Sheldor097	1
42	fffMike	1
42	LeeMcGee30	1
42	Steelynan	1
42	Ezekson	1
42	ConnorDanky_	1
42	little_dUki	1
42	AltnumberF4	1
42	Faart	1
