rank	username	minecraft:dropped/minecraft:warped_sign
1	Hyp3rion_	2119
2	noam464	853
3	EMC_	96
4	thewindmillman	94
5	eitanzaki	91
6	Blaiku	74
7	EcksD	66
8	Segotep999	57
9	Arceus1975	48
10	Jackattack53	46
11	PigDab	42
12	12Magner05	33
13	beeperbeeper5	29
14	Huwulling	27
15	Di_infiri	18
15	HolyVenom	18
17	lordpipe	13
18	Fullut	9
18	set67	9
20	kekhon	8
20	luseis	8
20	cichy096	8
23	Fuad_R	7
24	Spacewardharpy7	6
24	Eraxa	6
26	Marbz_	4
26	Kowcio_	4
28	Mattesco	3
28	_Mythic____	3
30	Mahoose	2
30	joethahobo	2
30	CliffEmAll	2
30	lorpus	2
30	Optiprimus	2
35	pintsizedrogue	1
35	chipklip	1
35	TheSecondLord	1
35	gcaisawesome	1
35	hanaryheatwave	1
35	jake314810	1
35	DarlaMeow	1
35	fluddd	1
35	NATE_the_HALO	1
35	AdmiralSmoke	1
35	FishisTTV	1
