rank	username	minecraft:dropped/minecraft:stone_slab
1	Spacewardharpy7	30388
2	noam464	8424
3	eitanzaki	5696
4	EcksD	2642
5	PigDab	1265
6	Blaiku	886
7	thewindmillman	734
8	RebelAndroid	515
9	Zoeyfortnite	511
10	Dedalus36	502
11	Blu3beast	498
12	joethahobo	465
13	kinas45y5	418
14	thescout7	413
15	EMC_	362
16	Frozil12	342
17	fluddd	328
18	Di_infiri	306
19	Fullut	279
19	DTwenty	279
21	sebastiensaborio	272
22	Werbe	258
22	AssEatrAndLicker	258
24	Mahoose	257
25	ItsColin11	254
26	I_Am_Mushkin	250
27	SammiWolfGirl	225
28	ColeSnyder	202
29	CalebDHawk	168
30	PortlyPete69	156
31	Uzbeki_John	141
32	Freak_Genius	134
33	Akoot_	131
34	Quaintster	128
35	Jackattack53	125
36	ayamefag	123
37	T045RTY	117
38	Snowflowe	116
39	beeperbeeper5	102
40	Hisiste	98
41	Smoke____	89
42	stahouo	78
42	jnp_gaming	78
44	Kowcio_	76
45	MilleGrug	72
46	r123moore	69
47	loveseeker	66
48	jcool7	65
48	Sral7	65
50	500am	64
50	M_Patata	64
50	MasterNueve	64
53	stuy9	63
54	stellarjay	60
55	EveryonesUncle	57
56	pipejob	56
56	oxfordschool	56
58	Scathra	54
58	Sheldor097	54
60	stavgod	53
61	Onennon	52
62	Wooptey	48
63	EcksDofficial	45
64	CoffeeNoir	43
65	Cryptacity	41
66	WyngGoy	40
67	Historical_Sand	39
67	Ssor69	39
69	Arceus1975	37
70	Awyrlas	35
71	Blackberry1310	34
71	Racengan	34
73	Legendosh	33
74	pintsizedrogue	32
74	Katthaj	32
76	burbankbuilder28	29
76	_Karmaa	29
78	_Virify_	26
79	Kynigito	25
79	Cocoamallows	25
81	BumbleBeever	24
81	YungMaki	24
83	Sky_light_KING	23
83	Soplight	23
85	wobn	22
86	Comma__	21
86	kekhon	21
86	Deathkob	21
86	Xclax101	21
90	_Dean_123	18
90	Xovalt_	18
90	UrbanPlanner1978	18
93	PhantomsGhost_	17
93	SaucyDark	17
93	TheSecondLord	17
93	BlueZabu	17
93	Powowowow	17
98	ImpavidArcher	16
98	TheShyPig	16
98	Nycteus_	16
98	geekbird	16
98	SSytex_X	16
98	camando92	16
104	Bumpy419	15
104	ese_wn_po	15
106	arcanemagic	14
107	audiocracked	13
107	HellsSponge	13
107	MightyWertu	13
110	BlancoFlaco	12
110	hm947	12
110	bloodbiter	12
110	SteveCraftBlocks	12
110	Inchef	12
110	jewbacaman	12
110	RodSerlingCringe	12
110	BreadBacon	12
118	Natty	11
118	H72l9w	11
118	gcaisawesome	11
118	OtariCharlie	11
118	NameGenerat0r	11
118	Skippeh	11
124	Cyntrical	10
124	Eraxa	10
124	KingMatthew506	10
127	bigstankyy	9
127	slkiey	9
127	Hyp3rion_	9
127	Hiryu27	9
127	FishyBoy3811	9
127	MyNameIsDakar	9
127	claivin	9
127	the__Reaper4999	9
127	Ezekson	9
136	rarrq	8
136	m_be9	8
136	fkGrim	8
139	ProfessorBee	7
139	SuperPooch06	7
139	ApophisNova	7
139	Shiirazuku	7
139	ogoa	7
139	BigCronkin	7
139	MovingFish7	7
139	MyNamaSheff	7
139	MeetTheWollo	7
139	2blox	7
139	vandmanden	7
150	teslawolf38	6
150	Malorn_Aetherius	6
150	fallingemma	6
150	Ecplosive	6
150	Chromary	6
150	lizardfightclub	6
150	proxivitoid	6
150	El_Jalapeno	6
150	SkateboardR6	6
150	layabout100	6
150	Nagasaki_Riku	6
150	Fizznut909	6
150	obzii	6
163	Jovaphobic	5
163	TildaAndrea	5
163	KingFaenor	5
163	Nach0Bear	5
163	hcb238	5
163	Paintz	5
163	Noah_Bez	5
163	Kakolbus	5
163	Winklepicker279	5
163	victorLIE	5
163	sammidk	5
163	AlphaWolfPlaysMC	5
163	masskedman	5
163	DarkS0L	5
163	GlitchMixed	5
163	Bloo2406	5
163	jinklenuttz	5
163	TheEnderman548	5
163	djancak	5
163	Spenduh	5
163	Hermanni__	5
163	RadarHz	5
163	FishisTTV	5
186	Sabby65	4
186	NotMeanttoChange	4
186	2Stout	4
186	domagawha	4
186	Soap_Bender	4
186	PlzNoBM	4
186	Moetis	4
186	h2p_emrld	4
194	Hpdinosaur	3
194	youhjjhhhjj	3
194	Swexti	3
194	NomadicRobin_	3
194	kiluaemc	3
199	Healthing	2
199	ExtraDumb	2
199	ShedJr_	2
199	TastyPorkchop	2
199	lilsay	2
199	Gingayy	2
199	egglapras	2
199	emrekn	2
199	Xalithia	2
199	IceYoung	2
199	XboxPanda	2
199	AmbroseForLife	2
199	RobotMinion101	2
199	cedric72	2
199	KeruNatsema	2
199	LilLizardWizard	2
199	Maenara	2
199	Wowful	2
199	chipklip	2
199	JESS_THE_RERE	2
199	07shiny	2
199	Kyrum2169	2
199	__tomato	2
199	Miko_Fullbuster	2
199	cichy096	2
199	HesDemonPants	2
225	abramgray	1
225	FroggoTheDoggo	1
225	Sleek_Storm_721	1
225	AlazelTheReal	1
225	mennorovers	1
225	Prodiginus	1
225	mwrty	1
225	xxPipperDipperxx	1
225	mariominejedi	1
225	Rumpletaezer	1
225	pappaberg	1
225	Skylord_Luke	1
225	selectrix	1
225	xo_Marren_xo	1
225	Ender_Souls	1
225	Hail_the_wombat	1
225	KnightmareD	1
225	GravitySaint	1
225	SvenskaHugo	1
225	BlankityMcBlank	1
225	Luigipunch989	1
225	Njensen7	1
225	erkada	1
225	tartanboy	1
