rank	username	minecraft:dropped/minecraft:jungle_button
1	Hyp3rion_	278
2	Jackattack53	129
3	thewindmillman	24
4	Kubelz	17
5	eitanzaki	9
6	Hpdinosaur	5
6	kinas45y5	5
8	NameGenerat0r	4
8	Quotary	4
10	joethahobo	3
10	WarMachina	3
12	ese_wn_po	2
13	the_fireminer	1
13	Mahoose	1
13	Blackberry1310	1
13	Awyrlas	1
13	noam464	1
13	lillips	1
13	Blaiku	1
13	MovingFish7	1
13	vandmanden	1
13	Smoke____	1
