rank	username	minecraft:dropped/minecraft:gray_carpet
1	noam464	4633
2	thewindmillman	2522
3	Spacewardharpy7	298
4	eitanzaki	169
5	kekhon	138
6	PlasticOtari	119
7	beeperbeeper5	118
8	Mahoose	109
9	heckface	105
10	MovingFish7	87
11	oxfordschool	83
12	Blaiku	80
13	Smoke____	78
14	EcksD	63
15	Freak_Genius	62
16	Quaintster	58
17	KingMatthew506	46
18	Di_infiri	40
19	thescout7	31
20	_Dean_123	27
21	Groovy_MoonBird	19
21	Hiryu27	19
23	Soplight	13
24	Njensen7	12
25	M_Patata	11
25	Racengan	11
25	MasterNueve	11
28	Historical_Sand	10
28	ratglock	10
28	SvenskaHugo	10
31	lillips	5
32	Onennon	4
32	EveryonesUncle	4
32	lordpipe	4
32	obzii	4
32	fffMike	4
37	r123moore	3
37	Marbz_	3
37	NameGenerat0r	3
37	Frozil12	3
37	Groundler	3
37	Eraxa	3
37	stahouo	3
37	Enderslayerxz3	3
45	joethahobo	2
45	Zorin_Blitz	2
45	Hyp3rion_	2
45	Sky_light_KING	2
45	Shin69	2
45	Spenduh	2
45	jcool7	2
52	ImpavidArcher	1
52	T045RTY	1
52	Blackberry1310	1
52	TheSecondLord	1
52	Zythose	1
52	TheShyPig	1
52	Akoot_	1
52	NomadicRobin_	1
52	fkGrim	1
52	KG1999	1
52	sadvavilloso	1
52	YungMaki	1
52	CACTUSLAD	1
