rank	username	minecraft:dropped/minecraft:iron_leggings
1	thewindmillman	24
1	Hyp3rion_	24
3	stahouo	20
4	rarrq	19
5	mwrty	16
6	noam464	15
6	Blaiku	15
6	Groundler	15
9	TheSecondLord	14
9	Werbe	14
11	Di_infiri	13
12	PhantomsGhost_	12
12	Drlzyy	12
12	RebelAndroid	12
12	Frozil12	12
16	beeperbeeper5	11
17	emrekn	10
17	mariominejedi	10
19	Dan_Scha	9
19	Akoot_	9
19	Soplight	9
19	cichy096	9
23	I_Am_Mushkin	8
23	eitanzaki	8
25	Rebytre	7
25	Gryglu583	7
25	fluddd	7
25	ProbsNotNova	7
25	oxfordschool	7
30	Nekowu	6
30	Rich_Kat	6
30	Ardennes	6
30	set67	6
30	jewbacaman	6
30	chipklip	6
30	AssFullaCum	6
30	jnp_gaming	6
30	PlasticOtari	6
39	JohnnyFyes	5
39	thescout7	5
39	Xalithia	5
39	GreedyFern8581	5
39	Bumpy419	5
39	EveryonesUncle	5
39	wobn	5
39	Racengan	5
39	Hisiste	5
39	Spacewardharpy7	5
39	NotMeowMix	5
39	monky_irl	5
39	djancak	5
39	CalebDHawk	5
39	Kubeusz2010	5
39	Ezekson	5
39	smogfrog	5
39	EcksDofficial	5
39	Smoke____	5
58	strongman951753	4
58	ImpavidArcher	4
58	joethahobo	4
58	Historical_Sand	4
58	egglapras	4
58	Kubelz	4
58	XboxPanda	4
58	Chromary	4
58	yaboo88	4
58	The11thDoctor	4
58	Sky_light_KING	4
58	NomadicRobin_	4
58	DTwenty	4
58	Soap_Bender	4
58	HellsSponge	4
58	MightyWertu	4
58	lordpipe	4
58	Cocoamallows	4
58	Kowcio_	4
58	Moetis	4
58	laron58	4
58	kinas45y5	4
80	EMC_	3
80	IronArshXS	3
80	ColeSnyder	3
80	Tolhart	3
80	Incinere	3
80	Batman922	3
80	Cryptacity	3
80	Comma__	3
80	kekhon	3
80	rpmm	3
80	500am	3
80	Fullut	3
80	hcb238	3
80	Paintz	3
80	TableTim	3
80	gabriels543	3
80	popcanter	3
80	Arceus1975	3
80	Hiryu27	3
80	Felenov	3
80	Kouridragon	3
80	Matyyy15	3
80	PigDab	3
80	fw3xywashere	3
80	audiocracked	3
80	masskedman	3
80	lillips	3
80	Karbl	3
80	_Karmaa	3
80	NameGenerat0r	3
80	Deerfoot	3
80	Xclax101	3
80	DeGodz4life	3
80	silverpopcorn	3
80	MovingFish7	3
80	Razzgriz	3
80	Nagasaki_Riku	3
80	Omar_Alone	3
80	Decaying_Lotus	3
80	YungMaki	3
80	DontHaveKick	3
80	Chuglyfe	3
80	Skippeh	3
80	Nicserso	3
80	the_cocos	3
125	Lepthymo	2
125	SDW_Insanity	2
125	pintsizedrogue	2
125	seanitoo	2
125	heysushii	2
125	Froste131	2
125	abramgray	2
125	Ze1ig	2
125	jspwn	2
125	Merv__	2
125	BlancoFlaco	2
125	Bad_At_Names_Guy	2
125	Horizons86	2
125	Wooptey	2
125	Caystelly	2
125	Myszoaz	2
125	tramizu	2
125	picardred	2
125	dopplexd	2
125	Blackberry1310	2
125	jushykins	2
125	ABUSNA1996	2
125	Boboczus	2
125	o0z	2
125	_Nuf	2
125	boog4loo	2
125	redikul	2
125	IforgotCS_Source	2
125	fade_emerge78823	2
125	himak1	2
125	KGTV	2
125	Patwannabegamer	2
125	gcaisawesome	2
125	SpicyMeatballs	2
125	PeteO1995	2
125	reiwai	2
125	Zythose	2
125	wTXop	2
125	DaviusMaximoose	2
125	byFlixxx	2
125	Solar_Power	2
125	Donutt	2
125	Voxin2K	2
125	genesis2501	2
125	RobotMinion101	2
125	ooga47	2
125	Onennon	2
125	fred870d	2
125	iElijah	2
125	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
125	_Cloverbelle_	2
125	BRRRN179	2
125	TTNG	2
125	aec9	2
125	ClemenPine	2
125	HolyVenom	2
125	dezxalo	2
125	HoldThatPee	2
125	Nicky19	2
125	Lord_Jord	2
125	Bl1tzFX	2
125	Wowful	2
125	ogoa	2
125	gustarbite	2
125	FreddyFart	2
125	spencersolberg	2
125	_Bguette_	2
125	Beagle_Boy_Bop	2
125	MyNameIsDakar	2
125	DarlaMeow	2
125	shrimp_flips	2
125	mafiKiwi	2
125	DanTheBuilderino	2
125	Freak_Genius	2
125	C0oOK13M0N5T3R	2
125	OreoPenguin_	2
125	censorsheep	2
125	Th6masss	2
125	1_jR	2
125	Vegvisir	2
125	Toriankel	2
125	Yahir091	2
125	Leithz6	2
125	geekbird	2
125	BlueWyvern5170	2
125	ReyTheLegend	2
125	Kyrum2169	2
125	starbits140	2
125	__tomato	2
125	brofrickcheaters	2
125	Spenduh	2
125	DennyKai	2
125	Hermanni__	2
125	BreadBacon	2
125	Smaldo	2
125	AltnumberF4	2
125	x86assembly	2
125	UrbanPlanner1978	2
125	TheRealHi	2
224	Mr_Worthless	1
224	jojo1515151	1
224	angwla	1
224	doopiyo	1
224	_Virify_	1
224	elicobnoah	1
224	Harotio	1
224	littlesophiagirl	1
224	xyct	1
224	fanofbands101	1
224	_stets	1
224	JustMaleen	1
224	BenHomie	1
224	squigglybones	1
224	FroggoTheDoggo	1
224	hollowww	1
224	BigBootyHudge	1
224	Healthing	1
224	KingFaenor	1
224	DepressedCubic	1
224	Begformurrcy	1
224	jessemgaming	1
224	Kegradigm	1
224	Iagoku	1
224	error10101	1
224	Slinkyy7071	1
224	DinoDoctor_	1
224	itburb	1
224	NotP0tato	1
224	SaucyDark	1
224	Gundam_Steven	1
224	Hpdinosaur	1
224	Flores991	1
224	tuckerdoodle	1
224	Zippyzam	1
224	Ryker	1
224	Rasaq	1
224	ewsophie	1
224	jimintyy	1
224	C0by3llis	1
224	Alteriity	1
224	Natty	1
224	Seyaboy	1
224	lotarp	1
224	KomputerDude	1
224	_Frepp_	1
224	CoffeeNoir	1
224	Huwulling	1
224	Reamdin	1
224	Mahoose	1
224	Prismyst	1
224	buss081	1
224	sejekasper1	1
224	ShedJr_	1
224	MOSS000	1
224	SteveWithClout	1
224	MSK__	1
224	301851	1
224	gaziter10	1
224	Da_Boss_Rani	1
224	Unitas_isa	1
224	oreee	1
224	Stright_	1
224	Sleepy_Time_	1
224	ChampPog_	1
224	Stynxy	1
224	Valoth	1
224	Shadoko_	1
224	Upstro10	1
224	Gooberkid223	1
224	cowgirlkasia	1
224	Frxnkz	1
224	Auseawesome	1
224	CliffEmAll	1
224	Phlp	1
224	m_be9	1
224	Nicky_H225	1
