rank	username	minecraft:dropped/minecraft:detector_rail
1	eitanzaki	417
2	Werbe	384
2	ConnorDanky_	384
4	Blaiku	203
5	Di_infiri	175
6	EcksD	152
7	gusstationwerker	149
8	noam464	130
9	kekhon	92
10	victorLIE	72
11	Hyp3rion_	55
12	Skippeh	48
13	Jackattack53	40
14	6king6colt6	21
15	thewindmillman	14
16	FreakGenius	13
17	lillips	12
17	SvenskaHugo	12
19	joethahobo	9
20	kars0n	8
20	WhosJPG	8
22	lotarp	7
22	The11thDoctor	7
22	mihimihimihi	7
25	pintsizedrogue	6
25	carloselpapii	6
25	_Dean_123	6
25	PigDab	6
25	lizardfightclub	6
25	ori0le	6
25	Mythic1130	6
25	FishisTTV	6
33	Kubelz	5
33	Racengan	5
33	Soplight	5
36	PhantomBionic	4
36	emrekn	4
36	TheDankPlatypus	4
36	LilLizardWizard	4
36	_Karmaa	4
36	Ashton1242	4
36	YungMaki	4
36	Erased_Identity	4
44	_Boipl_	3
44	dartwaffle	3
44	jewbacaman	3
44	Leyna3	3
44	shrimp_flips	3
44	SlinkyPinky	3
44	ThatMan_Dave	3
44	NotMeowMix	3
44	Teebone15	3
53	MunkaKris	2
53	Bandito_Roamer	2
53	Mahoose	2
53	TheSecondLord	2
53	SteveCraftBlocks	2
53	TerraVl	2
53	set67	2
53	xxPipperDipperxx	2
53	King_Pancake1	2
53	Hiryu27	2
53	Lord_Zacler	2
53	Jamstroxian	2
53	SkateboardR6	2
53	SUN_DREAM	2
53	LeEricc	2
53	Sral7	2
53	Biites	2
70	_Virify_	1
70	MattieHD	1
70	ProfessorBee	1
70	Guillemet	1
70	Mewar	1
70	Covalents	1
70	Marbz_	1
70	ooga47	1
70	groofles	1
70	sxc_	1
70	FreddyFart	1
70	HellsSponge	1
70	Hisiste	1
70	Spacewardharpy7	1
70	Cocoamallows	1
70	Strangemonkey71	1
70	Shadow4381	1
70	PortlyPete69	1
70	PlzNoBM	1
70	smogfrog	1
70	FallenCorps	1
