rank	username	minecraft:dropped/minecraft:black_bed
1	PigDab	212
2	_Virify_	38
3	Racengan	13
4	Freak_Genius	10
5	Kowcio_	8
6	thewindmillman	7
7	joethahobo	6
8	pintsizedrogue	4
8	eitanzaki	4
8	fluddd	4
11	LoboTheLobster	3
11	burbankbuilder28	3
11	Akoot_	3
11	Jiminie	3
11	__tomato	3
16	kekhon	2
16	cichy096	2
18	Groovy_MoonBird	1
18	bigstankyy	1
18	ShedJr_	1
18	_Dean_123	1
18	500am	1
18	Bucscw24	1
18	Arceus1975	1
18	HolyVenom	1
18	lordpipe	1
18	Kyrum2169	1
18	Kekoo	1
18	lcvezra	1
18	xof_on_microwave	1
