rank	username	minecraft:dropped/minecraft:golden_chestplate
1	oscminus	412
2	Hyp3rion_	357
3	thewindmillman	112
4	StinkyDiplomat	58
5	PigDab	40
5	Segotep999	40
7	Jackattack53	39
8	Spacewardharpy7	34
9	beeperbeeper5	32
10	Fullut	29
11	joethahobo	28
11	Kowcio_	28
13	lordpipe	25
14	noam464	22
14	Di_infiri	22
14	FreakGenius	22
14	Ezekson	22
18	eitanzaki	20
19	TheSecondLord	19
19	EveryonesUncle	19
21	q_wq	18
22	Zythose	17
22	Skippeh	17
22	Enderxz3	17
25	Lez_	16
26	Mahoose	15
26	kekhon	15
26	Akoot_	15
29	Blackberry1310	14
29	excelsionprime	14
29	Kakolbus	14
29	Blaiku	14
29	non089	14
34	Eraxa	13
35	Secret_Canary	12
35	Winklepicker279	12
35	El_Jalapeno	12
38	EMC_	11
38	Deerfoot	11
38	Yamdalorian	11
41	ImpavidArcher	10
41	rarrq	10
41	Arceus1975	10
41	NomadicRobin_	10
41	HellsSponge	10
41	pixelviolin	10
41	Jimb0nat0r	10
48	Frozil20	9
48	SyntheticSurgeon	9
48	set67	9
48	mwrty	9
48	SkateboardR6	9
48	mihimihimihi	9
54	MAns_44	8
54	censorsheep	8
54	Druid95	8
54	Luigipunch989	8
58	lpinfinity	7
58	theonlymagikarp	7
58	gcaisawesome	7
58	M_Patata	7
58	yheece	7
58	Krowuss	7
58	Manaateee	7
58	Pumpkin_P_Patch	7
58	_i_ERROR_i_	7
58	Spaghettatron	7
68	NatalieTW	6
68	ECstardust	6
68	I_Am_Mushkin	6
68	RebelAndroid	6
68	12Magner05	6
68	CollinMH06	6
68	Snowflowe	6
68	luseis	6
68	MasterNueve	6
68	doublemaki	6
68	djancak	6
68	NATE_the_HALO	6
68	Steelynan	6
68	2blox_	6
82	pintsizedrogue	5
82	_Virify_	5
82	Apollo_993	5
82	Huwulling	5
82	Historical_Sand	5
82	knarian	5
82	fr_ser	5
82	Skylord_Luke	5
82	PaperCanvas	5
82	Soap_Bender	5
82	NameGenerat0r	5
82	Xclax101	5
82	Gus2005	5
82	Racengan	5
82	_Mythic____	5
82	Njensen7	5
98	Jovaphobic	4
98	Poliitikko	4
98	Wooptey	4
98	Ryker	4
98	Alteriity	4
98	Stynxy	4
98	Saucepeh	4
98	Crowman1	4
98	Nach0Bear	4
98	thescout7	4
98	Touched_Bread	4
98	craaaash	4
98	legal_tax_evader	4
98	Chromary	4
98	Rebytre	4
98	Dabatha	4
98	masskedman	4
98	Blu3beast	4
98	cutelilreno	4
98	Fizznut909	4
98	EcksD	4
98	RadarHz	4
98	HesDemonPants	4
98	jnp_gaming	4
98	PlasticOtari	4
123	H0UNDFRMH3LL	3
123	Mr_Byzantine	3
123	PhantomsGhost_	3
123	Cowison	3
123	BadenOnGod	3
123	soundad	3
123	tuckerdoodle	3
123	SOA1RR	3
123	NinjaKnifeKill	3
123	Ssor69	3
123	Mewar	3
123	2Stout	3
123	platinumzero	3
123	UncleDanDan	3
123	TableTim	3
123	Giannism	3
123	hanaryheatwave	3
123	AlexxO_o	3
123	Lord_Jord	3
123	EdGalbraith	3
123	TheSeismicDuck	3
123	AspenLightVT	3
123	Meatlaugh	3
123	ebanana	3
123	Shogunite	3
123	DanTheBuilderino	3
123	Grimmaul	3
123	Razzgriz	3
123	IdeallyGrey	3
123	Colmer94	3
123	SpacesickPrism	3
123	TheALV	3
123	Kubeusz2010	3
123	tartanboy	3
123	ConnorDanky_	3
123	11Brewer	3
123	Nicserso	3
123	vandmanden	3
123	h2p_emrld	3
123	561cool	3
123	00000000-0000-0000-0009-01ff0c3e5e4f	3
164	aangwie	2
164	k_ce	2
164	robertsnose	2
164	shineh10	2
164	powercas_gamer	2
164	MyMawgDonaldsGon	2
164	diamondgolem35	2
164	Ryan_GEMS	2
164	SaucyDark	2
164	livingdaydreams	2
164	T045RTY	2
164	ShedJr_	2
164	QuiCreans	2
164	royal_2	2
164	bAk5tAb	2
164	mattybeewrapss	2
164	m_be9	2
164	Nicky_H225	2
164	corvidpartyfor6	2
164	500am	2
164	4774	2
164	Inchef	2
164	Xalithia	2
164	Kubelz	2
164	gloominq	2
164	mariominejedi	2
164	dj1121	2
164	Jonafrog99	2
164	xambsam	2
164	Nyxiom_	2
