rank	username	minecraft:dropped/minecraft:prismarine_shard
1	Ezekson	736552
2	thewindmillman	656018
3	noam464	290839
4	EcksD	246410
5	Blaiku	132116
6	Zythose	126472
7	Frozil12	119001
8	eitanzaki	60006
9	Hyp3rion_	33175
10	Hisiste	29323
11	Jackattack53	21991
12	Paintz	11575
13	Snowflowe	2100
14	Spacewardharpy7	2037
15	Smoke____	1443
16	beeperbeeper5	1406
17	_Virify_	1404
18	HellsSponge	1117
19	ItsColin11	1092
20	jcool7	992
21	Groundler	879
22	PigDab	866
23	gcaisawesome	722
24	EcksDofficial	662
25	YungMaki	594
26	Freak_Genius	512
27	CliffEmAll	470
28	XboxPanda	411
29	Inbefour	385
30	fw3xywashere	330
31	ImpavidArcher	237
32	Racengan	221
33	Marbz_	200
34	Blu3beast	198
35	12Magner05	189
36	lordpipe	172
37	M_Patata	138
37	MasterNueve	138
39	Mahoose	135
39	Di_infiri	135
41	MightyWertu	132
42	YungWali	130
43	diamondgolem35	129
44	SpookyDraggin	110
45	Kyrum2169	107
45	MilleGrug	107
47	RebelAndroid	104
48	EMC_	89
49	chipklip	80
50	kekhon	78
51	Blackberry1310	67
52	DarlaMeow	66
53	teslawolf38	64
53	Lord_Jord	64
53	Dusk_95	64
53	Eraxa	64
57	Segotep999	63
58	NomadicRobin_	55
59	Kakolbus	51
60	Iagoku	50
61	TheTrueClipse	47
62	QueenShuvi	45
63	MovingFish7	43
64	AssFullaCum	40
65	Jiminie	39
65	oxfordschool	39
67	eviltunix	38
68	Bumpy419	37
69	Powowowow	35
70	Vorlice	29
70	Enderslayerxz3	29
72	Faart	28
73	Flapjacker687	26
74	_Dean_123	24
75	TheSecondLord	23
76	I_Am_Mushkin	21
77	Skippeh	20
78	joethahobo	18
78	PortlyPete69	18
78	Zoeyfortnite	18
81	MrKrabOnCoke	17
81	r123moore	17
81	alderban107	17
84	SkateboardR6	16
84	stahouo	16
86	jnp_gaming	15
87	Inchef	14
88	Fullut	13
88	Chromary	13
88	Arceus1975	13
88	EveryonesUncle	13
88	33sudo	13
88	pixelviolin	13
94	PhantomsGhost_	12
94	Awyrlas	12
94	Dogcorn69420	12
97	Fuad_R	11
98	Onennon	10
98	ProbsNotNova	10
100	HesDemonPants	9
101	vandmanden	8
101	TechnoNinja64	8
103	AuroraValkyrie	6
103	SaucyDark	6
103	Lez_	6
103	500am	6
103	mwrty	6
103	Werbe	6
103	PlasticOtari	6
110	m_be9	5
110	surfinggiraffejp	5
110	lillips	5
110	Xclax101	5
110	Vellu21	5
115	elicobnoah	4
115	SokaOtaku	4
115	MustaLoordi	4
115	__tomato	4
115	CalebDHawk	4
120	Drlzyy	3
120	set67	3
120	platinumzero	3
120	ApophisNova	3
120	monky_irl	3
120	anbbang	3
120	MyNamaSheff	3
120	MeetTheWollo	3
120	h2p_emrld	3
129	Groovy_MoonBird	2
129	Incinere	2
129	rarrq	2
129	Notta	2
129	Ardennes	2
129	Covalents	2
129	loveseeker	2
129	SlayerCrypto	2
129	RodSerlingCringe	2
129	Sky_light_KING	2
129	NameGenerat0r	2
129	fluddd	2
129	KG1999	2
129	Kowcio_	2
129	Juh1s	2
129	Fizznut909	2
129	Nicserso	2
129	Legendosh	2
129	FishisTTV	2
148	Fast_Turtle	1
148	Hiryu27	1
148	The_slideV3	1
148	Winston_Ingram	1
