rank	username	minecraft:dropped/minecraft:blue_concrete_powder
1	Hyp3rion_	114689
2	thewindmillman	1680
3	Jackattack53	1664
4	_i_ERROR_i_	1024
5	MattieHD	512
5	HyperCave	512
7	bl1ss0	381
8	xzvu	320
9	Lez_	195
10	ConnorDanky_	128
11	oscminus	86
12	lordpipe	71
13	SteveCraftBlocks	65
14	k_ce	64
14	Tyrannosplart	64
16	mwrty	56
17	beeperbeeper5	12
17	Kyrum2169	12
19	eitanzaki	8
20	El_Jalapeno	7
21	ImpavidArcher	4
22	jnp_gaming	3
23	Kowcio_	2
23	starbits140	2
23	KingMatthew506	2
26	XboxPanda	1
26	StarCookiees_	1
