rank	username	minecraft:dropped/minecraft:prismarine_bricks
1	thewindmillman	75869
2	Hyp3rion_	43134
3	noam464	32308
4	EcksD	14290
5	diamondgolem35	11924
6	Ezekson	8933
7	PhantomsGhost_	2020
8	Blaiku	1978
9	Hisiste	1665
10	eitanzaki	1604
11	FreakGenius	1601
12	Spacewardharpy7	1314
13	Axemurdermike	1064
14	Enderxz3	967
15	PigDab	792
16	I_Am_Mushkin	772
17	lillips	710
18	vandmanden	478
19	Zythose	445
20	Bumpy419	403
21	jcool7	382
22	gcaisawesome	365
23	xDraggin	337
24	Di_infiri	325
25	Smoke____	277
26	Blu3beast	262
27	seramalen	256
27	RoofTyler	256
27	_Karmaa	256
27	Vorlice	256
31	Arceus1975	235
32	IamCL4SSY	200
33	_Dean_123	192
34	AuroraValkyrie	167
35	Mahoose	159
36	beeperbeeper5	143
37	Creativebuilder2	128
37	PortlyPete69	128
39	Jackattack53	122
40	Lez_	121
41	Legendosh	113
42	12Magner05	112
43	MirielThePastor	111
44	MovingFish7	106
45	xzvu	94
46	Steelynan	91
47	Frozil20	82
48	MightyWertu	81
49	Fuad_R	77
50	YungMaki	76
51	Hiryu27	75
52	TheTrueClipse	74
53	CliffEmAll	72
53	Racengan	72
55	Zoeyfortnite	69
56	Fullut	68
57	eviltunix	66
57	Snowflowe	66
57	Kowcio_	66
60	thescout7	65
61	ayamefag	64
62	joethahobo	62
62	Vellu21	62
64	ImpavidArcher	61
65	lizardfightclub	60
65	Groundler	60
67	ApophisNova	58
67	MyNamaSheff	58
69	elicobnoah	56
69	MattieHD	56
71	John6970	55
72	DarlaMeow	52
73	Inchef	42
74	Xclax101	36
74	Majonezzon	36
76	MilleGrug	35
77	Alteriity	34
78	lordpipe	33
79	mihimihimihi	32
80	claivin	30
80	RealGroot	30
82	Groovy_MoonBird	28
82	RebelAndroid	28
84	FishisTTV	24
85	Factoroni	23
86	NameGenerat0r	22
87	Iagoku	20
88	surfinggiraffejp	19
89	ItsColin11	16
89	NomadicRobin_	16
89	jnp_gaming	16
92	Kakolbus	15
93	LittleBug562	14
94	Fast_Turtle	13
94	Kyrum2169	13
96	Dogcorn69420	11
96	Iamthejo	11
98	500am	10
98	ROY4LE	10
100	Awyrlas	9
100	TheShyPig	9
100	MAns_44	9
103	stavgod	8
104	EveryonesUncle	7
104	Mythic1130	7
106	voiding_	6
107	ratglock	5
108	Maenara	4
108	PlasticOtari	4
110	MrKrabOnCoke	3
110	luseis	3
110	HellsSponge	3
110	Nicserso	3
110	Powowowow	3
110	TechnoNinja64	3
116	SmashingPump	2
116	KarlKaek	2
116	hm947	2
116	Incinere	2
116	T045RTY	2
116	H72l9w	2
116	Comma__	2
116	platinumzero	2
116	TheWildMateo	2
116	fkGrim	2
116	Nycteus_	2
116	fluddd	2
116	SvenskaHugo	2
116	gusstationwerker	2
116	Skippeh	2
131	JohnnyFyes	1
131	Notta	1
131	TheSecondLord	1
131	kekhon	1
131	Kkanot	1
131	mwrty	1
131	legal_tax_evader	1
131	Chromary	1
131	wTXop	1
131	Onennon	1
131	YungWali	1
131	Fildyr	1
131	MakeHistory157	1
131	Razzgriz	1
131	SammiWolfGirl	1
131	cichy096	1
131	bladeefan2009	1
