rank	username	minecraft:dropped/minecraft:blackstone
1	thewindmillman	90898
2	Hyp3rion_	66883
3	noam464	30249
4	Blaiku	27507
5	Jackattack53	15836
6	EcksD	11986
7	eitanzaki	4516
8	Kowcio_	3765
9	Ryan_GEMS	3341
10	Werbe	3261
11	PazinGaming	3209
12	emreknugrlu	3055
13	Segotep999	2897
14	NomadicRobin_	2592
15	RebytreGT	2154
16	PigDab	2128
17	set67	1681
18	Spacewardharpy7	1529
19	mihimihimihi	1102
20	gcaisawesome	1059
21	T045RTY	1017
22	FreakGenius	872
23	Wooptey	856
24	Yamdalorian	795
25	beeperbeeper5	785
26	Alteriity	769
27	Smashic	762
28	TheSecondLord	750
29	lizardfightclub	745
30	ECstardust	686
31	rarrq	671
31	EveryonesUncle	671
33	Iamthejo	655
34	Racengan	617
35	Snowflowe	590
36	monky_irl	557
37	Spenduh	543
38	SammiWolfGirl	529
39	Lez_	517
40	Di_infiri	487
41	Secret_Canary	475
42	HolyVenom	473
43	Deathkob	465
44	Mahoose	458
45	mwrty	451
46	Enderxz3	442
47	RebelAndroid	425
48	_i_ERROR_i_	421
49	LazySupport00	414
50	lorywithay	413
51	k_ce	410
52	Luminad3	398
53	Inchef	390
54	fw3xy74	389
55	_Virify_	386
56	Kakolbus	376
57	NieToksikpl	336
58	HesDemonPants	334
59	hm947	329
59	_Yonk_	329
61	Soplight	309
62	NumbaOneMunch	305
63	Awyrlas	304
64	BadenStayFly	302
65	Touched_Bread	300
66	OreTheBear	298
67	hanaryheatwave	290
68	SkateboardR6	279
69	Winklepicker279	274
70	TheBananaKat	272
71	weabis	270
72	SteveCraftBlocks	267
73	Chromary	262
74	noodlepack	257
75	mimbo1211	256
76	tartanboy	249
77	Fullut	247
78	djancak	239
79	F_Uhre	238
80	bloodbiter	227
81	H0UNDFRMH3LL	226
82	Manaateee	224
83	TheEnderMan548	222
84	77Holly7	211
85	Zythose	207
86	NATE_the_HALO	206
87	I_Am_Mushkin	202
88	lordpipe	192
89	Apollo_993	190
90	Samificator	189
90	AltnumberF4	189
92	oscminus	177
93	pintsizedrogue	173
94	YungMaki	172
95	kekhon	167
96	AuroraSkies	166
96	EdGalbraith	166
98	iSammael	164
99	trixterrx	163
100	Skylord_Luke	162
101	12Magner05	160
102	calamariclam_I	158
103	_Mythic____	156
103	MrShojo	156
105	Cowison	153
106	TheKingK_	149
106	UltraZombie	149
108	yheece	144
109	bigstankyy	143
109	Shortest_Man	143
111	MissCeleste7	141
112	THEKINGLyric10	136
113	livingdaydreams	133
114	Fuad_R	132
115	brofrickcheaters	128
116	DarkS0L	126
116	CACTUSLAD	126
118	Blackberry1310	124
119	whoaluv	123
119	luseis	123
121	Afinnity	119
122	LagVibes	117
122	AlexxO_o	117
124	fluddd	112
125	PuFY	109
126	zToasty69z	107
127	MSK__	105
127	CalebDHawk	105
129	MS_Pryxx	103
129	MilleGrug	103
131	groofles	100
132	Da_Boss_Rani	98
132	r123moore	98
134	Kubeusz2010	97
135	Eczbox	94
135	Eczbek	94
137	trexgb	91
138	kalzor	90
139	500am	88
139	mariominejedi	88
141	Marbz_	87
142	KliBeast21	84
143	Strangemonkey71	83
144	XboxPanda	82
145	ShedJr_	81
145	FirsTimeGamingTV	81
147	SygnalX	78
147	blackeemperor	78
147	IdeallyGrey	78
150	JohnnyFyes	75
150	CLG_Kata	75
152	excelsionprime	74
153	MightyWertu	73
153	skitzxo	73
155	Kekoo	70
156	lotarp	69
157	Sleepy_Evelyn	68
