rank	username	minecraft:dropped/minecraft:iron_nugget
1	thewindmillman	221774
2	Hyp3rion_	214884
3	noam464	92327
4	Blaiku	10146
5	mihimihimihi	4439
6	EcksD	3729
7	Jackattack53	3606
8	eitanzaki	2612
9	PigDab	1165
10	gcaisawesome	984
11	AdmiralSmoke	966
12	_Virify_	783
13	kekhon	748
14	mwrty	647
15	TheSecondLord	612
16	xolstoi	601
17	beeperbeeper5	595
18	Flores991	516
19	Di_infiri	513
20	AlexxO_o	392
21	diamondgolem35	364
22	_Mythic____	345
23	_Huge_Male_	323
24	luseis	313
25	lordpipe	303
26	YungMaki	300
27	FreakGenius	289
28	Fullut	281
29	stellarjay	266
30	ConnorDanky_	250
31	MovingFish7	236
32	Hermanni__	207
33	HellsSponge	206
34	Ezekson	198
35	T045RTY	193
36	Soplight	192
37	Blu3beast	183
38	Mattesco	174
39	SvenskaHugo	163
40	Segotep999	153
41	lillips	152
42	Skylord_Luke	149
43	NomadicRobin_	146
44	Groovy_MoonBird	145
45	sadvavilloso	134
46	m_be9	132
47	PazinGaming	131
48	Alteriity	130
49	Mahoose	124
50	F_Uhre	118
51	livingdaydreams	106
52	__TheNorseMan__	105
53	Smashic	104
54	Xclax101	102
55	fw3xy74	95
56	AuroraSkies	94
57	excelsionprime	87
57	Shiirazu	87
59	Tyrannosplart	73
60	Racengan	71
61	Akoot_	69
62	joethahobo	67
63	H0UNDFRMH3LL	66
63	andy_rex	66
63	Enderxz3	66
66	Voxin2K	65
66	WyngGoy	65
68	ECstardust	64
68	Vetral1	64
68	Deerfoot	64
68	wwwwinnebagoooo	64
68	Airem_Core	64
68	Factoroni	64
68	CalebDHawk	64
75	Inbefour	62
76	ImpavidArcher	61
77	JETrotter	58
77	Nargotah	58
79	NATE_the_HALO	56
80	Lez_	54
80	EveryonesUncle	54
82	Soap_Bender	53
83	youhjjhhhjj	52
84	SkateboardR6	49
84	Zoeyfortnite	49
86	Frozil20	48
87	SaucyDark	47
88	Rocco_Lane	45
89	tramizu	44
90	12Magner05	42
91	SuperPooch06	38
92	CollinMH06	36
92	RobotMinion101	36
92	MousePlays	36
92	xzvu	36
92	Skippeh	36
97	07shiny	35
97	Njensen7	35
99	FirsTimeGamingTV	34
99	Auseawesome	34
99	UCP_TheKingK	34
102	_Meow_Mix	33
103	JosephCW	32
103	MrTentacles2169	32
105	RebelAndroid	30
106	Lord_Jord	29
106	skrongus	29
108	HeraclesOGU	28
108	fkGrim	28
110	2_young_2_die	27
110	Chromary	27
112	CliffEmAll	26
112	Awyrlas	26
112	Bumpy419	26
112	CheifJumbo	26
116	funeralhome	25
116	Optiprimus	25
118	Eraxa	24
119	Creativebuilder2	23
119	GooseWithin	23
119	ProbsNotNova	23
119	Nicserso	23
119	00000000-0000-0000-0009-01ff0c3e5e4f	23
124	Badenbeele	22
125	CLG_Kata	21
125	SaintJosie	21
127	stevewithclout	20
127	ougstur	20
127	pixelviolin	20
127	Kowcio_	20
131	Luminad3	19
131	Juh1s	19
131	PortlyPete69	19
131	jcool7	19
135	I_Am_Mushkin	18
135	hm947	18
135	Vizzoid	18
135	_Dean_123	18
135	Shogunite	18
135	Spacewardharpy7	18
135	non089	18
142	hbaoo	17
142	Blackberry1310	17
142	crying_wolf_13	17
142	ROY4LE	17
142	diggydog67	17
147	Sleek_Storm_721	16
147	Iagoku	16
147	thescout7	16
147	Inchef	16
147	Druid95	16
152	Rebytre	15
152	Dakar_	15
154	InfernalMound	14
154	Ze_BaronKrigler	14
156	k_ce	13
156	CoffeeNoir	13
156	rarrq	13
156	Krowuss	13
156	TheShyPig	13
156	Rasmanden	13
156	KingMatthew506	13
156	AltnumberF4	13
164	Merv__	12
164	xxPipperDipperxx	12
164	Rumpletaezer	12
164	wilgot_	12
164	DanTheBuilderino	12
164	cichy096	12
164	Legendosh	12
171	Ryan_GEMS	11
171	ApophisNova	11
171	Werbe	11
171	lizardfightclub	11
171	LazySupport00	11
171	Steelynan	11
171	MyNamaSheff	11
178	gren_ben	10
178	_Nuf	10
178	eviltunix	10
178	Kouridragon	10
178	fluddd	10
178	__tomato	10
