rank	username	minecraft:dropped/minecraft:deepslate_brick_stairs
1	weabis	1518
2	Skylord_Luke	153
3	TheSecondLord	132
4	luseis	68
5	Jackattack53	64
6	craaaash	43
7	beeperbeeper5	34
7	mihimihimihi	34
9	milltesco	31
10	11Brewer	29
11	EdGalbraith	25
12	thewindmillman	24
13	Lez_	13
14	skroobiez	10
14	ScootOfBoot	10
14	Kowcio_	10
17	Segotep999	8
18	TheBananaKat	5
19	Hyp3rion_	4
19	MAns_44	4
21	NieToksikpl	3
21	Nicserso	3
23	Touched_Bread	2
23	Mattesco	2
23	Manaateee	2
23	TheWickedBird	2
27	ImpavidArcher	1
27	lorywithay	1
27	KGTV	1
27	PlasticOtari	1
