rank	username	minecraft:dropped/minecraft:hopper_minecart
1	thewindmillman	108
2	noam464	64
3	Spacewardharpy7	40
4	PigDab	18
5	eitanzaki	17
6	Jahara	11
7	Di_infiri	6
7	Skylord_Luke	6
9	HellsSponge	5
9	Blaiku	5
11	DanTheBuilderino	4
12	Hyp3rion_	3
12	Freak_Genius	3
12	KG1999	3
12	jcool7	3
16	EMC_	2
16	Werbe	2
16	AssEatrAndLicker	2
16	Hisiste	2
16	__tomato	2
16	EcksDofficial	2
22	AuroraValkyrie	1
22	Mahoose	1
22	beeperbeeper5	1
22	ThePoliteG	1
22	thescout7	1
22	eviltunix	1
22	SellyZ	1
22	xxPipperDipperxx	1
22	UncleDanDan	1
22	MyNameIsJobo	1
22	Leyna3	1
22	Akoot_	1
22	El_Jalapeno	1
22	Blu3beast	1
22	Kyrum2169	1
22	starbits140	1
22	Hermanni__	1
22	erkada	1
22	Nicserso	1
22	Smoke____	1
