rank	username	minecraft:dropped/minecraft:seagrass
1	thewindmillman	4626
2	Racengan	337
3	SSytex_X	306
4	noam464	279
5	eitanzaki	193
6	Nagasaki_Riku	163
7	Groovy_MoonBird	140
8	kekhon	120
9	Freak_Genius	89
10	HellsSponge	86
11	Bumpy419	85
12	imaginek1d	83
13	Nicky_H225	81
14	DarkLawD	79
14	Segotep999	79
16	h2p_emrld	75
17	EcksDofficial	74
18	SammiWolfGirl	73
19	2Stout	67
20	robotemo	62
21	Comma__	60
22	Blackberry1310	58
23	TechnoNinja64	57
24	hollowww	56
25	Seyaboy	54
26	Zoeyfortnite	52
27	Gryglu583	44
27	GravitySaint	44
29	pintsizedrogue	43
30	500am	42
30	wezzzi	42
32	Covalents	39
33	EveryonesUncle	38
34	TheSecondLord	35
35	Drlzyy	31
36	YungMaki	29
37	SaucyDark	28
37	Blu3beast	28
37	Kiki_Majiki	28
40	_Minnty_	27
40	ApophisNova	27
40	MyNamaSheff	27
43	Smoke____	26
44	Arceus1975	25
45	Onennon	24
45	oxfordschool	24
47	JohnnyFyes	21
48	aikabot	20
48	Jiminie	20
50	TooManyDuck	19
50	Da_Boss_Rani	19
50	Maenara	19
53	NinjaKnifeKill	18
53	Awyrlas	18
53	PigDab	18
56	ToastedGamingYT	17
56	AuroraSkies	17
56	EfficientC52	17
59	Frozil12	16
60	beeperbeeper5	15
60	QueenShuvi	15
62	Dedalus36	14
62	T045RTY	14
62	TheOnlyRake	14
65	Hiryu27	13
65	Njensen7	13
67	lcvezra	12
68	ImpavidArcher	11
68	Voxin2K	11
70	egglapras	10
70	SellyZ	10
70	Kubeusz2010	10
70	EcksD	10
70	diggydog67	10
75	FirsTimeGamingTV	9
75	12Magner05	9
75	Fullut	9
78	Stynxy	8
78	impossibleteapot	8
78	RodSerlingCringe	8
78	Pickel_Lord	8
82	Mahoose	7
82	yulgur1	7
82	IAmTheWalrus910	7
82	Kyrum2169	7
86	KingFaenor	6
86	SidorAlex	6
86	joethahobo	6
86	Di_infiri	6
86	Kouridragon	6
86	MinerDec	6
86	claivin	6
86	Xclax101	6
86	Poppy235	6
86	Ezekson	6
96	Bandito_Roamer	5
96	MrExplorer	5
96	Paintz	5
96	fallingemma	5
96	loveseeker	5
96	Akoot_	5
96	DanTheBuilderino	5
96	El_Jalapeno	5
96	SUN_DREAM	5
96	__tomato	5
106	rarrq	4
106	lilsay	4
106	thescout7	4
106	Irko	4
106	SpicyMeatballs	4
106	Huic_ostiarius	4
106	NomadicRobin_	4
106	SpouHn	4
106	jambvds	4
106	chipklip	4
106	cringenaynaybaby	4
106	babyjimmyneutron	4
106	Kowcio_	4
106	Spenduh	4
106	stellarjay	4
106	Winston_Ingram	4
106	Skippeh	4
106	HesDemonPants	4
106	Wasdmaster3	4
125	jspwn	3
125	Loveablerose12	3
125	Natty	3
125	MOSS000	3
125	eviltunix	3
125	MustaLoordi	3
125	fluddd	3
125	Hisiste	3
125	KingMatthew506	3
125	2blox	3
125	kinas45y5	3
125	_Dri_	3
137	Menthas	2
137	Tobinator_007	2
137	bigstankyy	2
137	CompAir	2
137	lotarp	2
137	awesomeoneme	2
137	Simon_Lowell	2
137	Myszoaz	2
137	Z3braYTIL	2
137	sandmire	2
137	Motsaro	2
137	Xalithia	2
137	ROY4LE	2
137	xxPipperDipperxx	2
137	TylerDupree	2
137	Nyxiom_	2
137	kars0n	2
137	regulator75	2
137	ADEXTV	2
137	XxCookiequeenxX	2
137	Travka100	2
137	Typadopoulos	2
137	LetsDoItLive	2
137	layabout100	2
137	Zetsey	2
137	_TCARREIRA_	2
137	obzii	2
137	ProbsNotNova	2
165	SirUnderpants	1
165	hm947	1
165	Batman922	1
165	SteveWithClout	1
165	301851	1
165	chlorinex	1
165	Ardennes	1
165	shyshyannne	1
165	Cambo5000	1
165	eiC_	1
165	DermeinUser	1
165	CollinMH06	1
165	MyNameIsJobo	1
165	pappaberg	1
165	SokaOtaku	1
165	Donutt	1
165	Skylord_Luke	1
165	lOlmantschi	1
165	Werbe	1
165	Kim_Jong_eel	1
165	TheSeismicDuck	1
165	fkGrim	1
165	Fuhrer_Teemo	1
165	C0oOK13M0N5T3R	1
165	FlashMigma	1
165	Bloo2406	1
165	RedcatVII	1
165	NotMeowMix	1
165	MovingFish7	1
165	Strangemonkey71	1
165	Moetis	1
165	Drawgirll	1
165	Sheldor097	1
165	Vellu21	1
165	Quotary	1
165	JayToe	1
