rank	username	minecraft:dropped/minecraft:dark_oak_fence_gate
1	Legendosh	448
2	Hyp3rion_	352
3	Notta	224
4	Blackberry1310	114
5	M_Patata	100
5	MasterNueve	100
7	noam464	78
8	Manaateee	75
9	FreakGenius	52
10	eitanzaki	48
11	beeperbeeper5	43
12	groofles	26
12	The_slideV3	26
14	Powowowow	16
15	Di_infiri	15
16	Fullut	14
16	xzvu	14
18	Merv__	13
18	Lez_	13
18	EcksD	13
21	PigDab	12
22	TheSecondLord	11
23	Norrhede	10
24	SyntheticSurgeon	8
24	HellsSponge	8
26	pintsizedrogue	6
26	m_be9	6
26	Tyrannosplart	6
29	ImpavidArcher	4
29	SaucyDark	4
29	Druid95	4
29	2blox_	4
33	dartwaffle	3
33	Dakar_	3
33	pixelviolin	3
33	LeEricc	3
37	Sleek_Storm_721	2
37	heckface	2
37	Cortexia	2
37	Secret_Canary	2
37	asspharte	2
37	Stiar	2
37	burbankbuilder28	2
37	Werbe	2
37	censorsheep	2
37	lordpipe	2
37	Deguns123	2
37	CalebDHawk	2
49	joethahobo	1
49	Historical_Sand	1
49	carloselpapii	1
49	Crowman1	1
49	minersam1	1
49	xxPipperDipperxx	1
49	benediktine1	1
49	Jackattack53	1
49	RobotMinion101	1
49	Onennon	1
49	Mattesco	1
49	luseis	1
49	Blaiku	1
49	Racengan	1
49	BumbleBeever	1
49	BlankityMcBlank	1
49	PortlyPete69	1
49	LeeMcGee30	1
49	TheOuterCore	1
49	CattSoup	1
