rank	username	minecraft:dropped/minecraft:red_stained_glass
1	Spacewardharpy7	41421
2	thewindmillman	717
3	emrekn	592
4	lillips	335
5	jnp_gaming	200
6	EcksD	181
7	lordpipe	157
8	Onennon	138
9	Soplight	129
10	camando92	114
11	theonlymagikarp	111
12	rarrq	104
13	Hyp3rion_	99
14	beeperbeeper5	96
15	SullyhS	77
16	Sky_light_KING	66
17	Mahoose	65
18	SexcMf	64
18	__tomato	64
20	Blaiku	61
21	TheSecondLord	60
22	Eraxa	56
23	MattieHD	50
24	oxfordschool	40
25	sebastiensaborio	33
26	eitanzaki	32
27	Freak_Genius	28
28	RodSerlingCringe	18
28	Kowcio_	18
30	_Bguette_	16
31	Nicserso	10
32	SaucyDark	9
32	Inbefour	9
34	OtariCharlie	8
35	Xalithia	7
35	Dogcorn69420	7
35	KingMatthew506	7
38	CliffEmAll	6
38	chipklip	6
38	Earlesstrain4	6
41	surfinggiraffejp	5
41	TechnoNinja64	5
43	JEWISHBadenBeele	4
43	Blackberry1310	4
43	noam464	4
43	M_Patata	4
43	EveryonesUncle	4
43	MasterNueve	4
43	Smoke____	4
50	Iagoku	3
50	Werbe	3
50	Babushka0430	3
50	AssEatrAndLicker	3
54	gabriels543	2
54	DaviusMaximoose	2
54	Bumpy419	2
54	RobotMinion101	2
54	masskedman	2
54	Blu3beast	2
60	pintsizedrogue	1
60	bloodbiter	1
60	Kamflame10	1
60	TheShyPig	1
60	GlitchyPlate810	1
60	EcksDofficial	1
