rank	username	minecraft:dropped/minecraft:white_stained_glass_pane
1	Spacewardharpy7	8348
2	PigDab	832
3	Ezekson	468
4	mwrty	426
5	eitanzaki	413
6	noam464	387
7	lillips	348
8	stahouo	279
9	kekhon	185
10	cog	164
11	TechnoNinja64	145
12	EMC_	128
12	Masssonnn	128
14	Sky_light_KING	126
15	jnp_gaming	107
16	Tolhart	106
17	Blaiku	101
18	beeperbeeper5	97
19	Freak_Genius	94
20	Akoot_	92
21	Groundler	88
22	rarrq	69
23	500am	64
23	HellsSponge	64
25	Queen_Jalapeno	60
25	El_Jalapeno	60
27	TheSecondLord	53
28	Natty	49
29	Blackberry1310	47
30	_Karmaa	43
31	kinas45y5	40
32	lordpipe	39
33	Sheldor097	38
34	NameGenerat0r	36
35	Winston_Ingram	35
36	Racengan	28
37	jcool7	25
38	sebastiensaborio	21
39	Leyna3	20
40	MyNameIsDakar	18
41	Incinere	17
42	Onennon	13
42	Blu3beast	13
42	Kowcio_	13
42	SSytex_X	13
46	Hyp3rion_	12
46	Dusk_95	12
48	Eraxa	11
49	Chromary	9
50	Werbe	8
50	oxfordschool	8
52	HAIRYCLOUD626	7
53	Inchef	6
53	wTXop	6
53	EcksDofficial	6
56	Kyrum2169	5
57	diamondgolem35	4
58	pintsizedrogue	3
58	chipklip	3
60	Tommhh	2
60	Di_infiri	2
60	Lord_Jord	2
63	RobotMinion101	1
63	Hermanni__	1
63	RadarHz	1
