rank	username	minecraft:dropped/minecraft:tube_coral_fan
1	noam464	66
2	thewindmillman	46
3	eiC_	24
4	Maenara	15
5	Blaiku	13
6	Arceus1975	12
6	binman420	12
8	Di_infiri	11
9	Hyp3rion_	10
9	EcksD	10
11	pintsizedrogue	9
11	KingMatthew506	9
13	eitanzaki	7
14	Onennon	6
14	Enderxz3	6
16	Kynigito	5
16	MilleGrug	5
18	SuperPooch06	4
18	domagawha	4
20	groofles	3
21	dudcreeper	2
21	InfernalMound	2
21	TheSecondLord	2
21	500am	2
21	XboxPanda	2
21	RobotMinion101	2
21	Akoot_	2
21	xDraggin	2
21	fkGrim	2
21	El_Jalapeno	2
21	Spacewardharpy7	2
21	Nicserso	2
33	Jovaphobic	1
33	diamondgolem35	1
33	SaucyDark	1
33	tuckerdoodle	1
33	beeperbeeper5	1
33	Blackberry1310	1
33	kekhon	1
33	eclipseboi	1
33	CollinMH06	1
33	claivin	1
33	Dusk_95	1
33	iSammael	1
33	SexcMf	1
33	Zetsey	1
33	gusstationwerker	1
33	Ir0npack	1
33	Zoeyfortnite	1
33	h2p_emrld	1
