rank	username	minecraft:dropped/minecraft:filled_map
1	pintsizedrogue	1381
2	EcksD	552
3	Blaiku	314
4	HellsSponge	313
5	Werbe	266
6	noam464	258
7	oxfordschool	224
8	YungMaki	214
9	eitanzaki	193
10	beeperbeeper5	187
10	pixelviolin	187
12	kekhon	174
13	rarrq	161
14	MeetTheWollo	148
15	Jackattack53	146
16	EcksDofficial	137
17	Blu3beast	123
18	lordpipe	91
18	PortlyPete69	91
20	Hyp3rion_	82
21	Incinere	79
21	Frozil12	79
23	joethahobo	76
24	Freak_Genius	72
25	Akoot_	70
26	Mahoose	69
27	chipklip	68
28	Di_infiri	67
28	thewindmillman	67
30	Spacewardharpy7	59
31	TheShyPig	54
32	seanitoo	53
33	Bumpy419	48
33	diggydog67	48
35	Xclax101	47
36	Ezekson	46
37	sebastiensaborio	44
38	Blackberry1310	43
38	TechnoNinja64	43
40	Chromary	38
41	wezzzi	36
42	lillips	34
43	Eraxa	33
44	thescout7	32
44	Rumpletaezer	32
44	fluddd	32
47	QueenShuvi	30
47	_TCARREIRA_	30
49	Donutt	29
49	Enderslayerxz3	29
49	Smoke____	29
52	ImpavidArcher	28
53	6king6colt6	25
53	TheSecondLord	25
53	gustarbite	25
56	lcvezra	24
57	NameGenerat0r	23
57	claivin	23
59	Mewar	22
59	fred870d	22
61	bigstankyy	21
61	Quaintster	21
61	sp00ky_ghost977	21
61	ProbsNotNova	21
65	youhjjhhhjj	20
65	Onennon	20
65	DarlaMeow	20
65	Dusk_95	20
69	Malorn_Aetherius	19
69	Winklepicker279	19
69	Maenara	19
69	rejenita	19
69	kinas45y5	19
74	Groovy_MoonBird	18
74	Fullut	18
74	XboxPanda	18
74	Rasmanden	18
74	Racengan	18
79	PhantomsGhost_	17
79	livingdaydreams	17
79	mwrty	17
79	EveryonesUncle	17
79	jnp_gaming	17
84	Kowcio_	16
85	Bandito_Roamer	15
85	TooManyDuck	15
85	12Magner05	15
85	MinttyFressh	15
85	_Dean_123	15
85	Skylord_Luke	15
85	FallenCorps	15
85	Sral7	15
93	301851	14
93	LoboTheLobster	14
93	Irko	14
93	lizardfightclub	14
97	EMC_	13
97	Tmb1	13
97	__Auspicious	13
97	stahouo	13
97	vandmanden	13
97	Zoeyfortnite	13
97	camando92	13
97	Faart	13
105	MattieHD	12
105	SteveCraftBlocks	12
105	ROY4LE	12
105	ApophisNova	12
105	Huic_ostiarius	12
105	El_Jalapeno	12
105	djancak	12
105	Fizznut909	12
105	MyNamaSheff	12
114	heckface	11
114	xxPipperDipperxx	11
114	mariominejedi	11
114	Arceus1975	11
114	andy_rex	11
119	JohnnyFyes	10
119	diamondgolem35	10
119	Swexti	10
119	m_be9	10
119	TableTim	10
119	WET_WET_WET	10
119	Zythose	10
119	AnnieBathory	10
127	H72l9w	9
127	FirsTimeGamingTV	9
127	Zaridey	9
127	Marbz_	9
127	SuperPooch06	9
127	LilLizardWizard	9
127	Coolbou0427	9
127	Dogcorn69420	9
127	CalebDHawk	9
127	jcool7	9
127	Skippeh	9
127	Nicserso	9
139	Sabby65	8
139	CoffeeNoir	8
139	ShedJr_	8
139	_Nuf	8
139	Kakolbus	8
139	gabriels543	8
139	_Boipl_	8
139	Kouridragon	8
139	PigDab	8
139	jacobsoy	8
139	MovingFish7	8
139	__tomato	8
139	Kubeusz2010	8
139	PlasticOtari	8
153	Gary_	7
153	SaucyDark	7
153	T045RTY	7
153	MOSS000	7
153	Xalithia	7
153	whoaluv	7
153	sigmabich	7
153	Legendosh	7
153	HesDemonPants	7
162	Mr_Byzantine	6
162	soundad	6
162	Natty	6
162	Vizzoid	6
162	Euclidoris	6
162	titanlax	6
162	redikul	6
162	crying_wolf_13	6
162	loveseeker	6
162	Muffindrake	6
162	Shiirazuku	6
162	KliBeast21	6
162	natajimi	6
162	Toiton	6
162	_Karmaa	6
162	Jij0	6
162	Soplight	6
162	Juh1s	6
162	SammiWolfGirl	6
162	Moetis	6
162	Yahrto	6
183	abramgray	5
183	LovelyDane	5
183	Sna_Ke	5
183	TheEnusa	5
183	Ardennes	5
183	Zorin_Blitz	5
183	IronyMan69	5
183	Nyxiom_	5
183	LilyNova	5
183	epiksk8erduck	5
183	jambvds	5
183	censorsheep	5
183	LordSpeed37	5
183	KingMatthew506	5
183	Hermanni__	5
183	anbbang	5
183	Wolverine4302	5
183	h2p_emrld	5
201	Merv__	4
201	teslawolf38	4
201	hm947	4
201	Hpdinosaur	4
201	_Razar	4
201	Natofthese	4
201	Batman922	4
201	MSK__	4
201	Historical_Sand	4
201	gaziter10	4
201	Ozixar	4
201	WavyGravy_	4
201	ThePoliteG	4
201	Awyrlas	4
201	intropass	4
201	Paintz	4
201	SokaOtaku	4
201	RobotMinion101	4
201	aec9	4
201	_naturell	4
201	Leyna3	4
201	AlphaWolfPlaysMC	4
201	XxCookiequeenxX	4
201	sufjanlover	4
201	Quincannon	4
201	Hisiste	4
201	MakeHistory157	4
201	stavgod	4
201	ayamefag	4
201	Kukkelikuk	4
201	Kyrum2169	4
201	stellarjay	4
201	GlitchyPlate810	4
201	SirBreadward	4
235	dudcreeper	3
235	ItsColin11	3
235	q_wq	3
235	Hyugo	3
235	ExtraDumb	3
235	Gundam_Steven	3
235	tramizu	3
235	picardred	3
235	Auseawesome	3
235	jacxhadow	3
235	bloodbiter	3
235	Boboczus	3
235	Guillemet	3
235	TheDiamondCG	3
235	500am	3
235	Kamflame10	3
235	Uzbeki_John	3
235	Inchef	3
235	eviltunix	3
235	TylerDupree	3
235	SeverianTheLame	3
235	BlueZabu	3
235	Giannism	3
235	RefluxRatio	3
235	ooga47	3
235	fxiryglitch	3
235	sammidk	3
235	Kim_Jong_eel	3
235	RodSerlingCringe	3
235	Nicky19	3
235	KnightmareD	3
235	NomadicRobin_	3
235	master9067	3
235	Yahir091	3
235	monky_irl	3
235	KG1999	3
235	Luigipunch989	3
235	Sheldor097	3
235	TitanCrafting	3
235	Quotary	3
235	UrbanPlanner1978	3
235	Teebone15	3
277	wylify	2
277	Barry_All3n_	2
277	SDW_Insanity	2
277	_Virify_	2
277	nataliecool	2
277	fanofbands101	2
277	TildaAndrea	2
277	milkedit	2
277	I_Am_Mushkin	2
277	error10101	2
277	Reamdin	2
277	Myszoaz	2
277	MrAdamant209	2
277	chlorinex	2
277	InfernalMound	2
277	aikabot	2
277	cowgirlkasia	2
277	Gary120	2
277	Comma__	2
277	ProfessorBee	2
277	Austine6698	2
277	Master_Kol	2
277	egglapras	2
277	IforgotCS_Source	2
