rank	username	minecraft:dropped/minecraft:granite_slab
1	eitanzaki	291
2	Blaiku	252
3	AspenLightVT	83
4	Steelynan	68
5	Spaghettatron	58
6	Yamdalorian	51
7	Enderxz3	49
8	Werbe	36
9	cutelilreno	33
10	Merv__	32
11	ImpavidArcher	14
12	NatalieTW	12
12	groofles	12
14	Malorn_Aetherius	6
15	gcaisawesome	5
16	Sleepy_Evelyn	4
16	KamFurnace	4
18	knarian	3
18	bruh072	3
20	Mahoose	2
20	jewbacaman	2
20	Akoot_	2
20	SexcMf	2
20	Pumpkin_P_Patch	2
20	Soplight	2
26	bigstankyy	1
26	noam464	1
26	luseis	1
26	vandmanden	1
