rank	username	minecraft:dropped/minecraft:prismarine_wall
1	noam464	456
2	eitanzaki	104
3	CliffEmAll	65
4	rarrq	16
5	Ezekson	8
6	PigDab	6
6	Spacewardharpy7	6
8	Powowowow	5
9	Frozil12	4
10	AltnumberF4	3
11	Maenara	2
12	BumbleBeever	1
12	kinas45y5	1
