rank	username	minecraft:dropped/minecraft:nether_gold_ore
1	Zythose	1359
2	EcksD	452
3	NomadicRobin_	261
4	noam464	133
5	EveryonesUncle	116
6	Enderslayerxz3	104
7	thewindmillman	97
8	Spacewardharpy7	84
9	KG1999	80
10	Hisiste	76
11	Winklepicker279	69
12	Blaiku	66
13	Hyp3rion_	42
14	Hermanni__	35
15	lillips	33
16	TheSecondLord	25
17	RoyalDorrr	23
18	eitanzaki	22
18	12Magner05	22
20	HolyVenom	21
20	Kowcio_	21
22	jiggywraps	20
22	thescout7	20
22	YungMaki	20
25	Fullut	18
26	Kakolbus	17
26	Di_infiri	17
26	MightyWertu	17
29	Smoke____	15
30	RebelAndroid	14
30	set67	14
30	Chromary	14
33	T045RTY	13
33	500am	13
35	SteveCraftBlocks	12
35	Eraxa	12
35	trexgb	12
38	hm947	11
38	CoffeeNoir	11
38	NameGenerat0r	11
41	Flores991	10
41	Historical_Sand	10
41	PigDab	10
41	jcool7	10
45	JEWISHBadenBeele	9
46	pintsizedrogue	8
46	DarlaMeow	8
48	Drlzyy	7
48	I_Am_Mushkin	7
48	ImpavidArcher	7
48	Racengan	7
52	4383	6
52	gcaisawesome	6
52	Frozil12	6
52	Dusk_95	6
52	Ze_BaronKrigler	6
52	PortlyPete69	6
52	_Yonk_	6
52	Erased_Identity	6
52	MissCeleste7	6
61	_Virify_	5
61	Miko_Fullbuster	5
63	beeperbeeper5	4
63	mwrty	4
63	Freak_Genius	4
63	obzii	4
63	oxfordschool	4
68	Swexti	3
68	stahouo	3
68	SammiWolfGirl	3
71	joethahobo	2
71	_Dean_123	2
71	Kkanot	2
71	Xalithia	2
71	MangoTheFish	2
71	Gab4101	2
71	TheEnderman548	2
71	MilleGrug	2
71	AltnumberF4	2
71	2blox	2
71	Teebone15	2
82	Cowison	1
82	Haficzeq6984	1
82	EMC_	1
82	MSK__	1
82	jushykins	1
82	whoaluv	1
82	Skylord_Luke	1
82	lizardfightclub	1
82	SingedBread	1
82	SkateboardR6	1
82	lordpipe	1
82	Soplight	1
82	Legendosh	1
82	jnp_gaming	1
82	EcksDofficial	1
82	h2p_emrld	1
