rank	username	minecraft:dropped/minecraft:waxed_copper_grate
1	Mr_Byzantine	65
2	thewindmillman	34
3	net_flex	29
4	oscminus	15
5	MyMawgDonaldsGon	8
6	Spaghettatron	5
7	Secret_Canary	3
8	k_ce	2
8	Pumpkin_P_Patch	2
10	CLG_Kata	1
