rank	username	minecraft:dropped/minecraft:dripstone_block
1	thewindmillman	2589
2	500am	899
3	beeperbeeper5	326
4	Solar_Power	166
5	Mattesco	125
6	PlasticOtari	64
7	TheSecondLord	62
8	Lez_	40
9	pintsizedrogue	35
10	HolyVenom	28
11	prizm_	27
11	Spacewardharpy7	27
13	AlexxO_o	25
14	fade_emerge78823	20
15	groofles	15
15	Lord_Zacler	15
17	Skippeh	14
18	T045RTY	13
18	CalebDHawk	13
20	Rebytre	12
21	Hyp3rion_	11
22	Segotep999	10
23	RebelAndroid	9
23	Alteriity	9
23	Inchef	9
23	MilleGrug	9
27	noam464	8
28	PhantomBionic	5
28	MAns_44	5
28	Frozil12	5
31	LeauVox4921	4
31	cwartzo	4
31	Enderslayerxz3	4
34	EMC_	3
34	Flores991	3
34	KGTV	3
34	Jiminie	3
34	00000000-0000-0000-0009-01ff0c3e5e4f	3
39	Da_Boss_Rani	2
39	crying_wolf_13	2
39	Kakolbus	2
39	sp00ky_ghost977	2
39	Spenduh	2
44	Drlzyy	1
44	ZaneABrain	1
44	SquadMonster	1
44	Kkanot	1
44	Ithaca_GC	1
44	JitteryJared2	1
44	_Boipl_	1
44	NomadicRobin_	1
44	wwwwinnebagoooo	1
44	TheEnderman548	1
44	IdeallyGrey	1
44	tsitrawhy	1
44	00000000-0000-0000-0009-01f898304150	1
