rank	username	minecraft:dropped/minecraft:red_glazed_terracotta
1	eitanzaki	151
2	lillips	146
3	Snowflowe	128
4	thewindmillman	60
5	joethahobo	57
6	AnnieBathory	56
7	sebastiensaborio	42
8	Blaiku	38
9	Soplight	30
10	EcksD	24
11	2Stout	9
12	ProfessorBee	8
13	monky_irl	7
14	kinas45y5	4
15	Mahoose	3
15	pr33tu	3
17	rarrq	2
17	kekhon	2
17	Onennon	2
17	OverallConcept	2
17	MakeHistory157	2
17	djancak	2
17	jnp_gaming	2
24	beeperbeeper5	1
24	jushykins	1
24	_Dean_123	1
24	noam464	1
24	MyNameIsJobo	1
24	Di_infiri	1
24	Akoot_	1
24	Spacewardharpy7	1
24	lordpipe	1
24	CalebDHawk	1
