rank	username	minecraft:dropped/minecraft:music_disc_chirp
1	HellsSponge	226
2	Blu3beast	29
3	AspenLightVT	14
4	deleteduser3c11b	11
5	Mahoose	10
6	eitanzaki	8
7	ImpavidArcher	7
7	surfinggiraffejp	7
9	PhantomsGhost_	4
9	thewindmillman	4
9	Skylord_Luke	4
9	TechnoNinja64	4
13	Di_infiri	3
13	ApophisNova	3
13	MyNamaSheff	3
16	xxPipperDipperxx	2
16	luseis	2
16	Tyrannosplart	2
16	FreakGenius	2
16	StarCookiees_	2
16	EcksD	2
16	jnp_gaming	2
23	pintsizedrogue	1
23	CLG_Kata	1
23	SmashingPump	1
23	DinoDoctor_	1
23	abdomera	1
23	Historical_Sand	1
23	beeperbeeper5	1
23	rarrq	1
23	Blackberry1310	1
23	TheSecondLord	1
23	bloodbiter	1
23	Guillemet	1
23	ItsDed	1
23	500am	1
23	thescout7	1
23	Inchef	1
23	noam464	1
23	crashomon	1
23	fr_ser	1
23	Jackattack53	1
23	Oliver_Frost	1
23	Akoot_	1
23	Deodorante	1
23	Vol_Rod33	1
23	fluddd	1
23	Spacewardharpy7	1
23	Kura2218	1
23	Eraxa	1
23	Kowcio_	1
23	miramyu	1
23	CalebDHawk	1
23	Ezekson	1
23	ConnorDanky_	1
23	cichy096	1
